,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableCurrent,2795.000,28781.000,21965.000,20409.000,72623.000,77790.000,70967.000,16466.000,3100.000,13308.000,7141.000,
AccountsReceivableNetCurrent,,3864.000,7671.000,,,,,,,,,
AccruedLiabilitiesCurrent,4145.000,8495.000,1496.000,3000.000,,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,14268.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-1541.000,-2312.000,-3078.000,-4254.000,-3858.000,-710.000,-1133.000,-503.000,,,,
AdditionalPaidInCapital,60605.000,60605.000,60605.000,170523.000,170523.000,170523.000,170523.000,170523.000,170523.000,170523.000,170523.000,170523.000
Assets,65393.000,52545.000,53144.000,71307.000,114806.000,112280.000,108319.000,66963.000,14530.000,14502.000,1853.000,1763.000
AssetsCurrent,62515.000,50053.000,51034.000,69579.000,113453.000,111307.000,107730.000,66505.000,14530.000,14502.000,1853.000,1763.000
BankOverdrafts,,,,,,,,,,61.000,,
Capital,,,,,,,250000000.000,,,,,
Cash,62515.000,45921.000,42393.000,69007.000,112661.000,110876.000,100016.000,65430.000,,,,
CashAndCashEquivalentsAtCarryingValue,62515.000,45921.000,42393.000,69007.000,112661.000,110876.000,,,28.000,,126.000,36.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000
CommonStockSharesOutstanding,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000,19500000.000
CommonStockValue,1950.000,1950.000,1950.000,1950.000,1950.000,1950.000,1950.000,1950.000,1950.000,1950.000,1950.000,1950.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,71497.000,,,,58255.000,,
DeferredTaxAssetsValuationAllowance,,,,,,71497.000,,,,-58255.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,232651.000,,,,,,,,,,,
DueToRelatedPartiesCurrent,81911.000,81911.000,78159.000,72408.000,72408.000,49565.000,25514.000,14914.000,,,,
EquityMethodInvestmentOwnershipPercentage,,,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
FiniteLivedComputerSoftwareGross,4668.000,4668.000,4668.000,4668.000,4668.000,4668.000,4668.000,4668.000,3000.000,3000.000,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,1790.000,2176.000,2558.000,2940.000,3315.000,3695.000,4079.000,4210.000,3000.000,3000.000,,
FiniteLivedIntangibleAssetsNet,2878.000,2492.000,2110.000,1728.000,1353.000,973.000,589.000,458.000,,,,
InterestAndDividendsPayableCurrent,6136.000,8739.000,11312.000,,,,,,,,,
Liabilities,222701.000,229065.000,219242.000,111181.000,159277.000,127355.000,96481.000,31380.000,3100.000,13369.000,7141.000,14268.000
LiabilitiesAndStockholdersEquity,65393.000,52545.000,53144.000,71307.000,114806.000,112280.000,108319.000,66963.000,14530.000,14502.000,1853.000,1763.000
LiabilitiesCurrent,222701.000,229065.000,219242.000,111181.000,159277.000,127355.000,96481.000,31380.000,3100.000,13369.000,7141.000,14268.000
MinorityInterest,14329.000,9273.000,11378.000,15985.000,11211.000,13843.000,16861.000,24110.000,,,,
MinorityInterestOwnershipPercentageByParent,,,,,,0.600,0.600,0.600,0.600,0.600,0.600,0.600
NotesPayableRelatedPartiesClassifiedCurrent,96953.000,94924.000,98655.000,,,,,,,,,
OperatingLossCarryforwards,,,,,,210286.000,,,,171340.000,,
OperatingLossCarryforwardsValuationAllowance,,,,,,-12155.000,,,,-13242.000,,
OtherLiabilitiesCurrent,30761.000,3748.000,0.000,,,,,,,,,
OtherReceivablesNetCurrent,,268.000,970.000,572.000,792.000,,,,,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,,,,,,,,,
PreferredStockSharesOutstanding,0.000,0.000,0.000,,,,,,,,,
PreferredStockValue,0.000,0.000,0.000,,,,,,,,,
PrepaidExpenseAndOtherAssetsCurrent,,,,,,431.000,7714.000,1075.000,,,,
ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,,,,,,,,,14502.000,14502.000,1727.000,1727.000
RetainedEarningsAccumulatedDeficit,,-246036.000,-236953.000,-224078.000,-224297.000,-200681.000,-176363.000,-160497.000,-161043.000,-171340.000,-177761.000,-184978.000
SharesOutstanding,0.000,0.000,0.000,,,,,,,,,
StockholdersEquity,-171637.000,-185793.000,-177476.000,-55859.000,-55682.000,-28918.000,-5023.000,11473.000,11430.000,1133.000,-5288.000,-12505.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-157308.000,-176520.000,-166098.000,-39874.000,-44471.000,-15075.000,11838.000,35583.000,11430.000,1133.000,-5288.000,-12505.000
TaxesPayableCurrent,,2467.000,7655.000,15364.000,14246.000,,,,,,,
