,2015-12-31
AdjustmentForAmortization,0.000
AllocatedShareBasedCompensationExpense,40000.000
BusinessExitCosts1,-35000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-98000.000
ComprehensiveIncomeNetOfTax,-3475000.000
CostOfGoodsAndServicesSold,2110000.000
DepreciationDepletionAndAmortization,1095000.000
EarningsPerShareBasicAndDiluted,-0.580
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,7000.000
GeneralAndAdministrativeExpense,1492000.000
GrossProfit,2438000.000
IncomeLossFromContinuingOperations,3200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-3208000.000
IncreaseDecreaseInAccountsPayableTrade,578000.000
IncreaseDecreaseInAccountsReceivable,555000.000
IncreaseDecreaseInAccruedLiabilities,-27000.000
IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,-251000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,340000.000
InterestExpense,34000.000
InterestPaid,1000.000
NetCashProvidedByUsedInFinancingActivities,2936000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2936000.000
NetCashProvidedByUsedInInvestingActivities,-290000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-290000.000
NetCashProvidedByUsedInOperatingActivities,3000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2751000.000
NetIncomeLoss,-3208000.000
OperatingExpenses,5628000.000
OperatingIncomeLoss,-3190000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-267000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-267000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,0.000
OtherGeneralAndAdministrativeExpense,0.000
OtherNoncashExpense,-8000.000
OtherNonoperatingIncomeExpense,16000.000
PaymentsToAcquireIntangibleAssets,356000.000
ProceedsFromIssuanceOfCommonStock,600000.000
ProceedsFromIssuanceOfLongTermDebt,1764000.000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,66000.000
ProceedsFromShortTermDebt,572000.000
ResearchAndDevelopmentExpense,2516000.000
RestructuringCharges,430000.000
RestructuringCosts,430000.000
Revenues,4548000.000
SalesRevenueNet,4548000.000
SellingAndMarketingExpense,1190000.000
ValuationAllowancesAndReservesPeriodIncreaseDecrease,1500000.000
WeightedAverageNumberOfDilutedSharesOutstanding,5639.000
WeightedAverageNumberOfSharesOutstandingBasic,5639.000
