,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,31345.000,67314.000,85448.000,135841.000,6220850.000,6456722.000,6469508.000,6623537.000,1417825.000,1429529.000,1533379.000,1638029.000,1723592.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,24427.000,27078.000,27727.000,29330.000,,0.000,,,
AccumulatedOtherComprehensiveIncomeLossBeforeTax,,,,,9530328.000,4755976.000,5125217.000,5262482.000,1701928.000,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,142575.000,404197.000,1448619.000,1463405.000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,-142575.000,-1696637.000,-1448619.000,-1463405.000,,,,,
AdditionalPaidInCapital,,,,,14630421.000,21540021.000,21641821.000,21771416.000,21771191.000,21802783.000,,,
AdditionalPaidInCapitalCommonStock,241032.000,173824.000,173824.000,173824.000,,,,,,,21802783.000,21802783.000,21802783.000
Assets,6600.000,1000.000,0.000,20594.000,12450606.000,13035737.000,12851366.000,12955809.000,1088812.000,2915.000,13233.000,10448.000,8638.000
AssetsCurrent,6600.000,1000.000,0.000,20594.000,2067711.000,1742966.000,1410421.000,1491826.000,88962.000,2915.000,13233.000,10448.000,8638.000
BankOverdrafts,,,,,,,,2730.000,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,75000.000,75000.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,7250.000,7250.000,7250.000,7250.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,36250.000,,,,,,,,
Cash,6600.000,1000.000,0.000,20594.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,2327.000,178136.000,1291.000,1434.000,87012.000,965.000,5760.000,2975.000,1165.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
