,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,7991000.000,,,,7356000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,,,604000.000
AllocatedShareBasedCompensationExpense,6160000.000,4452000.000,4548000.000,4642000.000,4864000.000
AmortizationOfFinancingCosts,1665000.000,1416000.000,1314000.000,1324000.000,1222000.000
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,,0.000,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-2777000.000,,,,-28193000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,-690000.000,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-309000.000,,,,0.000
ComprehensiveIncomeNetOfTax,246191000.000,33114000.000,-419563000.000,35351000.000,42626000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1349000.000,1764000.000,1286000.000,918000.000,-102000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,247540000.000,34878000.000,-418277000.000,36269000.000,42524000.000
CostsOfRealEstateServicesAndLandSales,340000.000,1702000.000,3148000.000,8471000.000,2001000.000
CurrentIncomeTaxExpenseBenefit,922000.000,327000.000,525000.000,1466000.000,51000.000
DeferredIncomeTaxExpenseBenefit,528000.000,-135000.000,0.000,100000.000,0.000
DepreciationAndAmortization,63211000.000,62418000.000,62892000.000,62327000.000,63555000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,91380000.000,82235000.000,87460000.000,76876000.000,78793000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,79766000.000,0.000,0.000,0.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,64553000.000,0.000,0.000,-15200000.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-1372000.000,0.000,0.000,0.000,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-824000.000,0.000,0.000,0.000,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,23000.000,0.000,0.000,0.000,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,3540000.000,0.000,0.000,0.000,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,12540000.000,0.000,0.000,0.000,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,-1126000.000,0.000,0.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,14792000.000,0.000,0.000,0.000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,156054000.000,-623000.000,14067000.000,2999000.000,9303000.000
DividendsCommonStockCash,-41588000.000,,,,23441000.000
EarningsPerShareBasic,0.930,0.100,,,0.160
EarningsPerShareBasicAndDiluted,0.930,0.100,-1.670,,
EarningsPerShareDiluted,0.920,0.100,,,0.160
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,1831000.000,728000.000,1592000.000,1510000.000,2492000.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,189000.000,132000.000,136000.000,153000.000,168000.000
EquityMethodInvestmentDividendsOrDistributions,11820000.000,,,,17808000.000
EquityMethodInvestmentOtherThanTemporaryImpairment,,0.000,306400000.000,,0.000
EquityMethodInvestmentRealizedGainLossOnDisposal,,12613000.000,0.000,,17701000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInEarnings,-1400000.000,,,,1498000.000
GainLossOnDispositionOfRealEstateDiscontinuedOperations,64553000.000,,,,0.000
GainLossOnSaleOfInterestInProjects,136117000.000,,,,
GainsLossesOnExtinguishmentOfDebt,-29084000.000,0.000,0.000,-3876000.000,-2843000.000
GeneralAndAdministrativeExpense,15652000.000,15950000.000,17917000.000,13164000.000,15583000.000
ImpairmentOfRealEstate,12464000.000,2100000.000,142261000.000,0.000,0.000
IncomeLossFromContinuingOperations,180654000.000,26599000.000,,,40917000.000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,2121000.000,1760000.000,1282000.000,915000.000,-106000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-41533000.000,29174000.000,-443121000.000,1307000.000,31672000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-52069000.000,8010000.000,-143154000.000,-3427000.000,4693000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,182775000.000,28359000.000,-429579000.000,17940000.000,40811000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,-1.670,,
IncomeLossFromContinuingOperationsPerBasicShare,0.690,0.100,,,0.160
IncomeLossFromContinuingOperationsPerDilutedShare,0.680,0.100,,,0.160
IncomeLossFromDiscontinuedOperationsNetOfTax,62605000.000,0.000,0.000,-15200000.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,-776000.000,0.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,63381000.000,0.000,0.000,-15200000.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,0.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.240,0.000,,,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.240,0.000,,,0.000
IncomeLossFromEquityMethodInvestments,10536000.000,8551000.000,6433000.000,4181000.000,9278000.000
IncomeTaxExpenseBenefit,1450000.000,192000.000,525000.000,1566000.000,51000.000
IncreaseDecreaseInAccountsAndNotesReceivable,12860000.000,,,,5741000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-68698000.000,,,,-26745000.000
