,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,1775466.000,615530.000,823401.000,989414.000,2681122.000,1694470.000,1848084.000,996866.000
AccruedLiabilitiesCurrent,1262726.000,1207698.000,2272991.000,1090724.000,1517048.000,2882060.000,4284907.000,5110490.000
AccruedSalariesCurrent,,407444.000,1047530.000,357899.000,636093.000,892122.000,1349108.000,443749.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,8145.000,16375.000,29630.000,43188.000,57081.000,82924.000,68877.000,89296.000
AdditionalPaidInCapital,1975000.000,61512978.000,62276779.000,63040578.000,63853317.000,69946049.000,75545875.000,130976933.000
Assets,9480890.000,47095112.000,43643541.000,39102461.000,35803844.000,36294283.000,36554274.000,84703896.000
AssetsCurrent,9374782.000,46865900.000,43415695.000,38526301.000,35594357.000,35526542.000,36410692.000,83363966.000
CashAndCashEquivalentsAtCarryingValue,5742764.000,44806731.000,41513060.000,36809693.000,32133048.000,31780773.000,30965791.000,77493189.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,2029747.000,9199920.000,9199919.000,9199919.000,9199919.000,9628278.000,9994825.000,13214825.000
CommonStockSharesOutstanding,2029747.000,9199920.000,9199919.000,9199919.000,9199919.000,9628278.000,9994825.000,13214825.000
CommonStockValue,2030.000,9200.000,9200.000,9200.000,9200.000,9628.000,9995.000,13215.000
DeferredIncomeTaxLiabilities,,,18519.000,,,,21632.000,
DeferredOfferingCosts,1950921.000,,,,,,,
DeferredRevenueCurrent,1089907.000,890500.000,841225.000,833974.000,833975.000,370575.000,833975.000,833975.000
DeferredRevenueNoncurrent,,,,,,463400.000,,
DeferredTaxAssetsDeferredIncome,,,304264.000,,,,,
DeferredTaxAssetsGross,,,8305066.000,,,,17834390.000,
DeferredTaxAssetsLiabilitiesNet,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,6531375.000,,,,14877358.000,
DeferredTaxAssetsOther,,,,,,,43004.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,425282.000,,,,1337748.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,227093.000,,,,1576280.000,
DeferredTaxAssetsValuationAllowance,,,8286547.000,,,,17812758.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,18519.000,,,,21632.000,
Liabilities,,,,,,5410505.000,,
LiabilitiesAndStockholdersEquity,9480890.000,47095112.000,43643541.000,39102461.000,35803844.000,36294283.000,36554274.000,84703896.000
LiabilitiesCurrent,4128099.000,2713728.000,3937617.000,2914112.000,5032145.000,4947105.000,6966966.000,6941331.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,97626.000,,,,156478.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,43425.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,101486.000,,,,85535.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,103416.000,,,,203755.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,99556.000,,,,200082.000,
OperatingLossCarryforwards,,,17700000.000,,,,,
OtherAccruedLiabilitiesCurrent,190397.000,258526.000,282166.000,124990.000,164804.000,243928.000,307118.000,542722.000
OtherAssetsCurrent,,48987.000,51809.000,64482.000,25496.000,168341.000,36093.000,134669.000
OtherAssetsNoncurrent,2200.000,200.000,200.000,352980.000,200.000,463600.000,200.000,200.000
PreferredStockParOrStatedValuePerShare,,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,,2059169.000,1902635.000,1359890.000,1768994.000,1464564.000,1830958.000,2002966.000
PrepaidExpenseCurrent,1681097.000,,,,,,,
PrepaidInsurance,,404896.000,282440.000,183000.000,76523.000,424172.000,321463.000,193049.000
PropertyPlantAndEquipmentGross,112053.000,245387.000,257276.000,266368.000,266368.000,387065.000,212259.000,287493.000
PropertyPlantAndEquipmentNet,103908.000,229012.000,227646.000,223180.000,209287.000,304141.000,143382.000,198197.000
RetainedEarningsAccumulatedDeficit,-13147050.000,-17140794.000,-22580055.000,-26861429.000,-33090818.000,-39071899.000,-45968562.000,-53227583.000
StockholdersEquity,-11170020.000,44381384.000,39705924.000,36188349.000,30771699.000,30883778.000,29587308.000,77762565.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,30883778.000,,
TemporaryEquityCarryingAmountAttributableToParent,16522811.000,,,,,,,
TemporaryEquityLiquidationPreference,14763792.000,,,,,,,
TemporaryEquityParOrStatedValuePerShare,0.001,0.001,,,,,,
TemporaryEquitySharesAuthorized,7807502.000,7807502.000,,,,,,
TemporaryEquitySharesIssued,6964053.000,,,,,,,
TemporaryEquitySharesOutstanding,6964053.000,,,,,,,
UnrecognizedTaxBenefits,,,0.000,,,,0.000,
