,2011-09-30,2012-03-31
EarningsPerShareBasic,,0.000
GeneralAndAdministrativeExpense,42345.000,7110.000
IncomeLossFromContinuingOperations,-45370.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-45370.000,
IncomeTaxesPaid,,400.000
IncreaseDecreaseInAccountsPayable,,41455.000
InterestExpense,3025.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,,10000.000
NetCashProvidedByUsedInFinancingActivities,,6689.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,6689.000
NetCashProvidedByUsedInOperatingActivities,,-6689.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-6689.000
NetIncomeLoss,-45370.000,-58144.000
OfficersCompensation,,5000.000
OperatingExpenses,42345.000,57744.000
OperatingIncomeLoss,-42345.000,-57744.000
OtherTaxExpenseBenefit,,400.000
ProceedsFromRepaymentsOfRelatedPartyDebt,,6689.000
ProfessionalFees,,45634.000
WeightedAverageNumberOfSharesOutstandingBasic,5184410.000,11932063.000
