,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,2606000.000,2792000.000,3213000.000,5248000.000,4164000.000,5446000.000,5483000.000,5686000.000,5334000.000,8949000.000,9298000.000,9045000.000,6816000.000,8989000.000,10590000.000,15303000.000,7305000.000,11699000.000
AccountsReceivableNetCurrent,1738000.000,2618000.000,4435000.000,5450000.000,6081000.000,8143000.000,11119000.000,12938000.000,15251000.000,22714000.000,23735000.000,25631000.000,25653000.000,30412000.000,33347000.000,34064000.000,38107000.000,37962000.000
AccruedIncomeTaxesCurrent,,4626000.000,,,,,,,,945000.000,1171000.000,993000.000,953000.000,385000.000,516000.000,845000.000,,
AccruedLiabilitiesCurrent,15606000.000,14370000.000,16857000.000,19664000.000,23638000.000,18999000.000,22473000.000,22394000.000,25073000.000,27064000.000,26301000.000,27962000.000,30696000.000,31315000.000,31247000.000,39126000.000,41106000.000,32569000.000
AccruedMarketingCostsCurrent,588000.000,1095000.000,393000.000,371000.000,475000.000,729000.000,279000.000,212000.000,794000.000,525000.000,307000.000,460000.000,237000.000,628000.000,748000.000,542000.000,,
AccruedPayrollTaxesCurrent,,,,,,,,,,3075000.000,3011000.000,611000.000,426000.000,1720000.000,825000.000,4476000.000,,
AccruedProfessionalFeesCurrent,469000.000,367000.000,355000.000,684000.000,605000.000,487000.000,610000.000,681000.000,1708000.000,916000.000,1042000.000,916000.000,902000.000,938000.000,1451000.000,2428000.000,,
AccruedRoyaltiesCurrent,6984000.000,7986000.000,8142000.000,9002000.000,9180000.000,10942000.000,10845000.000,12239000.000,11933000.000,16527000.000,17435000.000,17614000.000,17822000.000,18890000.000,19270000.000,19286000.000,20473000.000,23759000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5006000.000,4150000.000,5041000.000,5996000.000,7109000.000,7865000.000,9775000.000,11734000.000,13725000.000,14839000.000,17065000.000,19609000.000,22812000.000,20627000.000,24105000.000,27912000.000,31988000.000,37607000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,9000.000,20000.000,44000.000,-72000.000,-629000.000,-3719000.000,-232000.000,-3839000.000,-6449000.000,-4529000.000,-8636000.000,-10838000.000,-17061000.000,-14846000.000
AdditionalPaidInCapitalCommonStock,48282000.000,49331000.000,54520000.000,125912000.000,127443000.000,139035000.000,150495000.000,160099000.000,174821000.000,185048000.000,198029000.000,206811000.000,213851000.000,222207000.000,232312000.000,244333000.000,251890000.000,255408000.000
AllowanceForDoubtfulAccountsReceivable,,,,,625000.000,,,,1031000.000,,,,3768000.000,4700000.000,6200000.000,6200000.000,5495000.000,5600000.000
AllowanceForDoubtfulAccountsReceivableCurrent,249000.000,,,,,,,,,,,,,,,,,
Assets,147114000.000,157710000.000,172548000.000,258956000.000,278488000.000,306760000.000,333319000.000,356003000.000,383777000.000,420768000.000,449359000.000,465007000.000,469121000.000,469323000.000,468377000.000,507333000.000,501778000.000,486560000.000
AssetsCurrent,125975000.000,134745000.000,148618000.000,233446000.000,243188000.000,250547000.000,274024000.000,296589000.000,323530000.000,289742000.000,313390000.000,330238000.000,335675000.000,329269000.000,328815000.000,351905000.000,339838000.000,316305000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,0.000,,,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,2000.000,,,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,54431000.000,54997000.000,55000000.000,49722000.000,54848000.000,54996000.000,54895000.000,52493000.000,,,,,,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,,,,,54429000.000,54994000.000,54997000.000,49720000.000,54844000.000,54992000.000,54891000.000,52491000.000,47078000.000,54980000.000,54974000.000,52407000.000,54972000.000,54901000.000
CapitalizedComputerSoftwareGross,,,,,768000.000,,,,1204000.000,,,,,,,,,
CapitalizedComputerSoftwareNet,,,,,,,,,,,,,3900000.000,6200000.000,9000000.000,14500000.000,20300000.000,24900000.000
CashAndCashEquivalentsAtCarryingValue,102096000.000,107013000.000,112803000.000,195519000.000,155355000.000,157978000.000,180851000.000,210760000.000,233453000.000,190479000.000,211479000.000,229607000.000,241304000.000,220563000.000,210918000.000,237997000.000,224190000.000,195395000.000
CommitmentsAndContingencies,,,,,,,,,,,,,0.000,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000.000,200000000.000,200000000.000
