,2013-10-31,2014-04-30,2014-07-31,2014-10-31,2015-07-31,2015-10-31,2016-01-31
AccountsPayableAndAccruedLiabilitiesCurrent,16783.000,27658.000,33800.000,33128.000,39423.000,47356.000,51253.000
Assets,121.000,1.000,1.000,1.000,1295.000,95.000,2.000
AssetsCurrent,,,,,1295.000,95.000,2.000
CashAndCashEquivalentsAtCarryingValue,121.000,1.000,1.000,1.000,1295.000,95.000,2.000
CashEquivalentsAtCarryingValue,121.000,1.000,,,1295.000,95.000,2.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,1088.000,1088.000,,,
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,100000000.000,200000000.000,200000000.000
CommonStockSharesIssued,120850000.000,120850000.000,120850000.000,120850000.000,120850000.000,120850000.000,120850000.000
CommonStockSharesOutstanding,,120850000.000,120850000.000,120850000.000,120850000.000,120850000.000,120850000.000
CommonStockSharesSubscriptions,,,1088.000,,,,
CommonStockValue,1209.000,1209.000,1209.000,1209.000,1209.000,1209.000,1209.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-34333.000,,,,,,
DueFromOtherRelatedPartiesCurrent,1088.000,,,,,,
DueFromRelatedParties,,121.000,,,,,
DueFromRelatedPartiesCurrent,,1088.000,,,,,
DueToOfficersOrStockholdersCurrentAndNoncurrent,,,,34210.000,,,
DueToRelatedPartiesCurrent,17550.000,18886.000,19336.000,34210.000,49786.000,48733.000,50360.000
DueToRelatedPartiesCurrentAndNoncurrent,,,19336.000,,,,
LiabilitiesAndStockholdersEquity,121.000,1.000,1.000,1.000,1295.000,95.000,2.000
LiabilitiesCurrent,34333.000,46544.000,53136.000,67338.000,89209.000,96269.000,101613.000
PreferredStockParOrStatedValuePerShare,,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockSharesIssued,,,0.000,,,,
PreferredStockSharesOutstanding,,,0.000,,,,
PreferredStockValue,0.000,,,,,,
RetainedEarningsAccumulatedDeficit,,-46664.000,-53256.000,-67458.000,-89123.000,-97383.000,-102820.000
StockholdersEquity,-34212.000,-46543.000,-53135.000,-67337.000,-87914.000,-96174.000,-101611.000
StockholdersEquityNoteSubscriptionsReceivable,-1088.000,-1088.000,,,,,
