,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AccountsPayableCurrent,8371000.000,11427000.000,6290000.000,6155000.000,7225000.000,7317000.000,4073000.000,3367000.000,3705000.000,3438000.000,2410000.000,3795000.000,3881000.000,3361000.000,4475000.000,3957000.000,4846000.000,6237000.000,6902000.000,3299000.000,3246000.000,4325000.000,4201000.000,4028000.000,6255000.000
AccountsReceivableNetCurrent,8622000.000,9337000.000,6792000.000,11399000.000,10333000.000,8094000.000,3635000.000,3434000.000,3189000.000,2064000.000,2110000.000,4866000.000,4219000.000,2981000.000,3074000.000,1091000.000,877000.000,665000.000,457000.000,716000.000,475000.000,1022000.000,1119000.000,1751000.000,1235000.000
AccruedLiabilitiesCurrent,435000.000,401000.000,431000.000,460000.000,1191000.000,1285000.000,919000.000,497000.000,483000.000,435000.000,525000.000,533000.000,543000.000,488000.000,572000.000,420000.000,446000.000,392000.000,468000.000,340000.000,336000.000,410000.000,293000.000,270000.000,211000.000
AccruedMarketingCostsCurrent,,,,,,,,,800000.000,800000.000,800000.000,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,12711000.000,,,,13634000.000,,,,14335000.000,,,,13549000.000,,,,13594000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-103000.000,-45000.000,-52000.000,-56000.000,-49000.000,-55000.000,-57000.000,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,89421000.000,89827000.000,90286000.000,92709000.000,97285000.000,97959000.000,98461000.000,100403000.000,100854000.000,101263000.000,103892000.000,104469000.000,116057000.000,116572000.000,117077000.000,117546000.000,128610000.000,129007000.000,129381000.000,132011000.000,132509000.000,132818000.000,143615000.000,144035000.000,144361000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,61000.000,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,47000.000,,,,47000.000,,,,72000.000,,,,61000.000,61000.000,61000.000,61000.000,40000.000,40000.000,40000.000,40000.000,121000.000,153000.000
Assets,32800000.000,36759000.000,30708000.000,32173000.000,36859000.000,34349000.000,28847000.000,22397000.000,19962000.000,16588000.000,17205000.000,17675000.000,27746000.000,24376000.000,22070000.000,16242000.000,25510000.000,21865000.000,16619000.000,24666000.000,19907000.000,16963000.000,23206000.000,19968000.000,19817000.000
AssetsCurrent,28025000.000,32916000.000,27108000.000,28797000.000,33717000.000,30468000.000,25202000.000,19707000.000,17662000.000,14658000.000,14901000.000,16110000.000,26532000.000,23443000.000,21357000.000,15699000.000,25083000.000,21592000.000,16337000.000,24197000.000,19336000.000,16155000.000,22439000.000,19253000.000,19144000.000
AssetsFairValueDisclosure,,,,,,6048000.000,4898000.000,2753000.000,2772000.000,2812000.000,2834000.000,2988000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,,445000.000,443000.000,415000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,,55000.000,,,,,,,,,,,,,,,,,,,
CapitalLeaseObligations,,,,,,208000.000,163000.000,118000.000,72000.000,30000.000,5000.000,,,,,,,,,,,,,,
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,,,,,,67000.000,23000.000,,
CapitalLeasedAssetsGross,,,,,,,,500000.000,,,,0.000,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,121000.000,,,,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,121000.000,,,,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,3000.000,,,,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,,118000.000,,,,,,,,,,,,,,,,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,,200000.000,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,11361000.000,11690000.000,10102000.000,10535000.000,13874000.000,11299000.000,10441000.000,7755000.000,7685000.000,6817000.000,7029000.000,6701000.000,17974000.000,16184000.000,14120000.000,11040000.000,19558000.000,16524000.000,12647000.000,19684000.000,14890000.000,10803000.000,15394000.000,9476000.000,7770000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,,5603000.000,4455000.000,2338000.000,2772000.000,2812000.000,2834000.000,2988000.000,,,,,,,,,,,,,
CashFDICInsuredAmount,,,,,,4800000.000,5200000.000,5300000.000,800000.000,800000.000,1300000.000,1400000.000,1100000.000,,,,,,,,,,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,,,,,0.590,0.590,0.610,0.610,0.660,0.660
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,1098902.000,,,,,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,2275282.000,,,,5023.000,,,,4273000.000,,,,7633000.000,7633000.000,6633000.000,5985000.000,4924000.000,4924000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,8750.000,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,90000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000
CommonStockSharesIssued,25351.000,25344000.000,25459000.000,26390000.000,28275000.000,28411000.000,28414000.000,30348000.000,30412000.000,30460000.000,31574000.000,31776000.000,41480000.000,41480000.000,41480000.000,41498000.000,50354000.000,50354000.000,50354000.000,50354000.000,50412000.000,51096000.000,60952000.000,61653000.000,61736000.000
CommonStockSharesOutstanding,25351.000,25344000.000,25459000.000,26390000.000,28275000.000,28411000.000,28414000.000,30348000.000,30412000.000,30460000.000,31574000.000,31776000.000,41480000.000,41480000.000,41480000.000,41498000.000,50354000.000,50354000.000,50354000.000,50354000.000,50412000.000,51096000.000,60952000.000,61653000.000,61736000.000
CommonStockValue,25000.000,25000.000,25000.000,26000.000,28000.000,28000.000,28000.000,30000.000,30000.000,30000.000,31000.000,31000.000,41000.000,41000.000,41000.000,41000.000,50000.000,50000.000,50000.000,50000.000,50000.000,51000.000,61000.000,62000.000,62000.000
ConvertibleDebtNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,14251000.000,14380000.000
DebtInstrumentBasisSpreadOnVariableRate,,,,,,,,,0.033,,,,,,,,,,,,,,,,
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,,,6361000.000,,,,15013000.000,,,,,
DebtInstrumentFaceAmount,,,,,,,,,,,,,,,,4000000.000,4000000.000,,,15000000.000,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,1133000.000,1012000.000,1215000.000,1215000.000,1215000.000,524000.000,,,,,,,,,
DeferredFinanceCostsCurrentNet,,,,,,36000.000,,28000.000,24000.000,20000.000,0.000,1012000.000,889000.000,768000.000,645000.000,,,,,,,,,,
DeferredFinanceCostsNoncurrentNet,,,,,,,,,,,731000.000,,,,,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,205000.000,,,,469000.000,,,,296000.000,,,,515000.000,,,,149000.000,
DeferredRevenue,,,,,,,,,,,,,,,,,,,,,3429000.000,,,,
DeferredTaxAssetsGross,,,,,,,,25810000.000,,,,28524000.000,,,,33338000.000,,,,40210000.000,,,,44512000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,0.000,,,,0.000,,,,,,,,,,,0.000,0.000,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,17239000.000,,,,19157000.000,,,,23664000.000,,,,30315000.000,,,,35424000.000,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,,,1193000.000,,,,1866000.000,,,,1604000.000,,,,1480000.000,,,,1192000.000,
DeferredTaxAssetsOther,,,,,,,,45000.000,,,,15000.000,,,,24000.000,,,,28000.000,,,,51000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,591000.000,,,,505000.000,,,,570000.000,,,,543000.000,,,,146000.000,
DeferredTaxAssetsStateTaxes,,,,,,,,2000.000,,,,2000.000,,,,2000.000,,,,2000.000,,,,1000.000,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,2669000.000,,,,3048000.000,,,,3034000.000,,,,3302000.000,,,,3906000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,1988000.000,,,,2024000.000,,,,2364000.000,,,,2598000.000,,,,1996000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,,,,,,413000.000,,,,447000.000,,,,534000.000,,,,394000.000,,,,226000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,,,,,,,,1670000.000,,,,1460000.000,,,,1542000.000,,,,1548000.000,,,,1570000.000,
DeferredTaxAssetsValuationAllowance,,,,,,,,25605000.000,,,,28055000.000,,,,33042000.000,,,,39695000.000,,,,44363000.000,
DeferredTaxLiabilitiesPrepaidExpenses,,,,,,,,205000.000,,,,379000.000,,,,96000.000,,,,63000.000,,,,76000.000,
EmployeeRelatedLiabilitiesCurrent,1870000.000,1483000.000,1747000.000,1813000.000,1625000.000,1305000.000,1071000.000,784000.000,910000.000,710000.000,767000.000,635000.000,771000.000,760000.000,775000.000,710000.000,801000.000,667000.000,753000.000,1243000.000,689000.000,1052000.000,894000.000,1085000.000,818000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,5200000.000,4500000.000,,3700000.000,3100000.000,3000000.000,2700000.000,3900000.000,3700000.000,1800000.000,,3100000.000,3000000.000,2300000.000,,2500000.000,2500000.000,2600000.000,,2400000.000
EntityWideDisclosureOnGeographicAreasLongLivedAssetsInForeignCountries,,,,,,1900000.000,1700000.000,1500000.000,1200000.000,1000000.000,800000.000,600000.000,500000.000,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,,,,,,445000.000,443000.000,415000.000,,,,,,,,,,,,,,,,,
IncomeTaxExaminationPenaltiesAndInterestAccrued,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,0.000,
InventoryFinishedGoods,,,,,,3362000.000,4548000.000,2766000.000,1634000.000,1506000.000,1300000.000,816000.000,723000.000,903000.000,770000.000,873000.000,497000.000,567000.000,500000.000,386000.000,397000.000,598000.000,1393000.000,2229000.000,3148000.000
InventoryNet,7302000.000,11370000.000,8877000.000,6057000.000,7704000.000,9643000.000,9975000.000,7380000.000,6225000.000,5305000.000,4269000.000,2620000.000,2428000.000,2463000.000,2392000.000,1880000.000,1821000.000,1948000.000,1841000.000,1658000.000,1603000.000,1970000.000,2992000.000,3160000.000,4497000.000
InventoryRawMaterials,,,,,,4534000.000,5046000.000,4544000.000,3718000.000,3516000.000,2639000.000,1737000.000,1437000.000,1346000.000,1404000.000,984000.000,1117000.000,1254000.000,1211000.000,1174000.000,1099000.000,1302000.000,1515000.000,884000.000,1198000.000
InventoryWorkInProcess,,,,,,1747000.000,381000.000,70000.000,873000.000,283000.000,330000.000,67000.000,268000.000,214000.000,218000.000,23000.000,207000.000,127000.000,130000.000,98000.000,107000.000,70000.000,84000.000,47000.000,151000.000
LettersOfCreditOutstandingAmount,,,,,,3000000.000,3000000.000,,,,,1100000.000,1100000.000,1100000.000,1100000.000,,,,,,,,,,
Liabilities,13420000.000,18426000.000,12962000.000,12234000.000,13416000.000,14218000.000,13038000.000,8685000.000,8969000.000,8049000.000,9177000.000,10662000.000,11153000.000,10761000.000,12009000.000,11523000.000,16176000.000,16489000.000,16239000.000,26000000.000,22156000.000,20396000.000,20233000.000,20497000.000,23362000.000
LiabilitiesAndStockholdersEquity,32800000.000,36759000.000,30708000.000,32173000.000,36859000.000,34349000.000,28847000.000,22397000.000,19962000.000,16588000.000,17205000.000,17675000.000,27746000.000,24376000.000,22070000.000,16242000.000,25510000.000,21865000.000,16619000.000,24666000.000,19907000.000,16963000.000,23206000.000,19968000.000,19817000.000
LiabilitiesCurrent,12549000.000,16214000.000,11283000.000,11022000.000,11486000.000,11305000.000,10428000.000,8591000.000,8868000.000,5144000.000,4207000.000,5463000.000,5993000.000,6028000.000,7834000.000,7792000.000,10854000.000,12056000.000,16192000.000,12252000.000,8381000.000,6499000.000,6071000.000,6210000.000,8942000.000
LineOfCreditFacilityAmountOutstanding,,,,,,,2800000.000,,,,,,,,,,,,,,,,,,
LineOfCreditFacilityCapacityAvailableForSpecificPurposeOtherThanForTradePurchases,,,,,,,,10000000.000,,,,,,,,,,,,,,,,,
LineOfCreditFacilityCurrentBorrowingCapacity,,,,,,5235000.000,731000.000,1486000.000,261000.000,1616000.000,1813000.000,4042000.000,3211000.000,2492000.000,2498000.000,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,10000000.000,10000000.000,10000000.000,10000000.000,,,,,,,,,,,,,,,,
LineOfCreditFacilityRemainingBorrowingCapacity,,,,,,5235000.000,-2069000.000,1486000.000,261000.000,1616000.000,1813000.000,,,,,,,,,,,,,,
LinesOfCreditCurrent,,,,,,,2800000.000,,,,,,,,,,,,,,,,,676000.000,1410000.000
LoansPayable,,,,,,3464000.000,3469000.000,3375000.000,3087000.000,2800000.000,,,5222000.000,5466000.000,,,,,,,,,,,
LongTermDebt,,,,,,,,,,,,6111000.000,,,,5837000.000,,,,,,,,15486000.000,
LongTermDebtAndCapitalLeaseObligations,,,,,,3733000.000,3632000.000,3493000.000,3320000.000,2911000.000,4872000.000,5099000.000,5354000.000,5554000.000,5589000.000,,9536000.000,8647000.000,7569000.000,13712000.000,13934000.000,14086000.000,,,
LongTermDebtAndCapitalLeaseObligationsCurrent,,,,,,,,,,,,,,,,,,,,1314000.000,,,,151000.000,248000.000
LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,,,,,,,,,,,,,,,,,,,,,,,14318000.000,14402000.000,14628000.000
LongTermDebtCurrent,772000.000,1971000.000,2079000.000,2144000.000,995000.000,908000.000,1115000.000,3493000.000,3320000.000,111000.000,5000.000,,298000.000,919000.000,1512000.000,2205000.000,4261000.000,4260000.000,7569000.000,13000.000,181000.000,212000.000,183000.000,1235000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,,,,,,,,,,,,,,,15000000.000,,,,15335000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,,,,,,,,,,2600000.000,,,,13000.000,,,,151000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,,,,,,2037000.000,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,,,,,4074000.000,,,,3761000.000,,,,,,,,,
