,2017-03-31
AccountsPayableCurrent,16000000.000
AccountsReceivableNetCurrent,144400000.000
AccruedEmployeeBenefitsCurrent,9200000.000
AccruedIncomeTaxesCurrent,27100000.000
AccruedLiabilitiesAndOtherLiabilities,111700000.000
AccruedRoyaltiesCurrent,25500000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,19400000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-700000.000
AdditionalPaidInCapitalCommonStock,539700000.000
AllowanceForDoubtfulAccountsReceivable,8000000.000
Assets,796600000.000
AssetsCurrent,678700000.000
CashAndCashEquivalentsAtCarryingValue,358700000.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,800000000.000
CommonStockSharesIssued,108132937.000
CommonStockSharesOutstanding,108132937.000
CommonStockValue,100000.000
DeferredTaxAssetsLiabilitiesNetNoncurrent,22600000.000
DueFromRelatedPartiesCurrent,45900000.000
DueToRelatedPartiesCurrent,10700000.000
FiniteLivedIntangibleAssetsNet,50200000.000
InventoryFinishedGoodsNetOfReserves,22400000.000
InventoryNet,91400000.000
InventoryWorkInProcessNetOfReserves,69000000.000
Liabilities,211500000.000
LiabilitiesAndStockholdersEquity,796600000.000
LiabilitiesCurrent,138400000.000
LiabilitiesFairValueDisclosure,0.000
LiabilitiesNoncurrent,73100000.000
MoneyMarketFundsAtCarryingValue,328800000.000
OtherAccruedLiabilitiesCurrent,18600000.000
OtherAssetsCurrent,38300000.000
OtherAssetsNoncurrent,22000000.000
OtherLiabilitiesNoncurrent,900000.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,50000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PropertyPlantAndEquipmentGross,42500000.000
PropertyPlantAndEquipmentNet,23100000.000
RetainedEarningsAccumulatedDeficit,46000000.000
StockholdersEquity,585100000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,585100000.000
ValuationAllowancesAndReservesBalance,33200000.000
