,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,18600000.000,,,,19400000.000,,,,13800000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,20100000.000,,,,,,,,
AllocatedShareBasedCompensationExpense,35600000.000,39700000.000,34100000.000,25500000.000,27700000.000,35600000.000,27200000.000,21900000.000,26800000.000
AmortizationOfFinancingCostsAndDiscounts,25200000.000,,,,16000000.000,,,,16300000.000
CapitalLeaseObligationsIncurred,,,,,12700000.000,,,,18300000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1060400000.000,,,,39600000.000,,,,867900000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,0.000,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,-24300000.000,,,,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,51000000.000,,,,0.000
ComprehensiveIncomeNetOfTax,229800000.000,-92500000.000,-378300000.000,-462500000.000,31100000.000,724700000.000,-12600000.000,-329400000.000,13900000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-66500000.000,13000000.000,-13700000.000,147900000.000,37900000.000,3000000.000,21100000.000,2800000.000,29500000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,296300000.000,-79500000.000,-392000000.000,-447600000.000,69000000.000,727700000.000,8500000.000,-326600000.000,43400000.000
CostsAndExpenses,1854700000.000,2087800000.000,2086000000.000,1663900000.000,2042700000.000,2045500000.000,2010000000.000,2229500000.000,2242300000.000
DeferredIncomeTaxExpenseBenefit,65400000.000,,,,132300000.000,,,,-38000000.000
DepreciationAndAmortization,618500000.000,649700000.000,658100000.000,530700000.000,670700000.000,668700000.000,670300000.000,681400000.000,693100000.000
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,,,0.000,,0.000,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,0.000,0.000,,,924100000.000,0.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,0.000,0.000,,38100000.000,-2600000.000,0.000,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,146300000.000,,,,44500000.000,,,,-22300000.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,146300000.000,,,,42500000.000,,,,-22300000.000
EffectOfExchangeRateOnCashAndCashEquivalentsDiscontinuedOperations,,,,,2000000.000,,,,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,-0.700,0.350
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,6400000.000,,,,4900000.000,,,,3100000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,20200000.000,,,,500000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,20200000.000,,,,500000.000,,,,
ForeignCurrencyTransactionGainLossBeforeTax,384400000.000,205400000.000,-787600000.000,-374800000.000,479000000.000,-474400000.000,150200000.000,281500000.000,-134900000.000
GainLossOnDerivativeInstrumentsNetPretax,-12900000.000,-449100000.000,349700000.000,51900000.000,-614100000.000,237400000.000,-237200000.000,-456000000.000,195800000.000
GainsLossesOnRestructuringOfDebt,-19300000.000,-187100000.000,-12300000.000,300000.000,-6800000.000,-6900000.000,-13800000.000,-188300000.000,-158300000.000
GoodwillAcquiredDuringPeriod,21100000.000,,,,15200000.000,,,,-2800000.000
GoodwillTranslationAndPurchaseAccountingAdjustments,547800000.000,,,,504000000.000,,,,-424900000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-342900000.000,,3900000.000,-202900000.000,55300000.000,-339600000.000,42400000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,424000000.000,-330700000.000,-344000000.000,-556800000.000,-29200000.000,-214700000.000,-5800000.000,-322600000.000,21900000.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,0.000,0.000,,38100000.000,921500000.000,0.000,0.000,0.000
IncomeTaxExpenseBenefit,65700000.000,3800000.000,1100000.000,161100000.000,33100000.000,11800000.000,61100000.000,-17000000.000,20500000.000
IncomeTaxExpenseBenefitContinuingOperations,65700000.000,3800000.000,1100000.000,161100000.000,33100000.000,11800000.000,61100000.000,-17000000.000,20500000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,-74500000.000,62000000.000,68900000.000,211000000.000,2700000.000,40600000.000,11000000.000,59200000.000,
IncomeTaxReconciliationChangeInEnactedTaxRate,,,,,,,-9800000.000,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,-46200000.000,17400000.000,24500000.000,33300000.000,-1900000.000,21000000.000,-2100000.000,5200000.000,-18600000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,171400000.000,-114400000.000,-120000000.000,-138500000.000,1400000.000,-71100000.000,19400000.000,-118900000.000,14800000.000
IncomeTaxReconciliationNondeductibleExpenseOther,13800000.000,38200000.000,22400000.000,34200000.000,12300000.000,24600000.000,19800000.000,23200000.000,34200000.000
IncomeTaxReconciliationOtherReconcilingItems,-400000.000,500000.000,4000000.000,-8900000.000,1900000.000,1900000.000,1400000.000,-7100000.000,5100000.000
IncomeTaxesPaidNet,14400000.000,,,,,,,,
IncreaseDecreaseInOperatingCapital,46700000.000,,,,156100000.000,,,,211900000.000
IncreaseDecreaseInRestrictedCash,1656900000.000,,,,,,,,-1539700000.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,8195773.000,,,,,,,,
IncrementalCommonSharesAttributableToContingentlyIssuableShares,3656454.000,,0.000,,0.000,,,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,35231081.000,,0.000,,0.000,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,0.000,,0.000,,,,
InterestExpense,364200000.000,392900000.000,381100000.000,317000000.000,418100000.000,402100000.000,408600000.000,448600000.000,470100000.000
InterestOnConvertibleDebtNetOfTax,,,0.000,,0.000,,,,
InterestPaidDiscontinuedOperations,,,,,12500000.000,,,,0.000
InterestPaidNet,260600000.000,,,,390300000.000,,,,467600000.000
InvestmentIncomeInterestAndDividend,22100000.000,16300000.000,30800000.000,4000000.000,19000000.000,1900000.000,17800000.000,3600000.000,13900000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,25800000.000,,,,16000000.000,,,,22700000.000
NetCashProvidedByUsedInContinuingOperations,,,,,10900000.000,,,,867900000.000
NetCashProvidedByUsedInDiscontinuedOperations,,,,,28700000.000,,,,0.000
NetCashProvidedByUsedInFinancingActivities,130000000.000,,,,-244700000.000,,,,830900000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,130000000.000,,,,-244700000.000,,,,830900000.000
NetCashProvidedByUsedInInvestingActivities,-2071600000.000,,,,-566000000.000,,,,-498400000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2071600000.000,,,,-566000000.000,,,,-498400000.000
NetCashProvidedByUsedInOperatingActivities,734900000.000,,,,805800000.000,,,,557700000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,734900000.000,,,,805800000.000,,,,557700000.000
NetIncomeLoss,342400000.000,-347000000.000,-333100000.000,-435000000.000,-25100000.000,701600000.000,-22400000.000,-331300000.000,-1000000.000
NetIncomeLossAttributableToNoncontrollingInterest,81600000.000,-16300000.000,-10900000.000,47300000.000,34000000.000,5200000.000,16600000.000,8700000.000,22900000.000
NetIncomeLossAvailableToCommonStockholdersBasic,342400000.000,,,,,,,,
NetIncomeLossAvailableToCommonStockholdersDiluted,353900000.000,,-333100000.000,,-25100000.000,,,,
NonoperatingIncomeExpense,-87900000.000,-857700000.000,-864800000.000,-583800000.000,-490400000.000,-681900000.000,-453800000.000,-840300000.000,-483000000.000
NotesAssumed,110300000.000,,,,,,,,
NotesAssumed1,,,,,713100000.000,,,,
OperatingIncomeLoss,577600000.000,530800000.000,521900000.000,188100000.000,494300000.000,479000000.000,509100000.000,500700000.000,525400000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-124900000.000,254500000.000,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,-36100000.000,,60100000.000,32500000.000,14300000.000,-8900000.000,21400000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationReclassificationAdjustmentRealizedUponSaleOrLiquidationNetOfTax,,0.000,0.000,,,12000000.000,0.000,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,21500000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-127700000.000,251200000.000,-48000000.000,-27300000.000,60100000.000,20900000.000,14300000.000,,
OtherCostAndExpenseOperating,902200000.000,949400000.000,935600000.000,592200000.000,897700000.000,887300000.000,859000000.000,973500000.000,1027000000.000
OtherNonoperatingIncomeExpense,-4400000.000,-1400000.000,-900000.000,1000000.000,-300000.000,-3700000.000,3400000.000,-3900000.000,-1600000.000
PaymentsForProceedsFromHedgeFinancingActivities,-800000.000,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,2500000.000,,,,-11900000.000,,,,-5900000.000
PaymentsForRepurchaseOfCommonStock,202500000.000,,,,230500000.000,,,,185500000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,6600000.000,,,,13600000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,50700000.000,,,,32300000.000,,,,0.000
PaymentsToAcquireProductiveAssets,510400000.000,,,,521300000.000,,,,504300000.000
ProceedsFromIssuanceOfLongTermDebt,2929400000.000,,,,1054600000.000,,,,1103900000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,,,,14700000.000,,,,1200000.000
ProceedsFromPaymentsForOtherFinancingActivities,-200000.000,,,,-300000.000,,,,42700000.000
ProceedsFromSaleOfProductiveAssets,148900000.000,,,,,,,,
ProfitLoss,424000000.000,-330700000.000,-344000000.000,-420300000.000,8900000.000,706800000.000,-5800000.000,-322600000.000,21900000.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,6300000.000,7600000.000,11700000.000,,,10000000.000,9300000.000,,6200000.000
RelatedPartyTransactionRevenuesFromTransactionsWithRelatedParty,6400000.000,6500000.000,5000000.000,,,3900000.000,4200000.000,,
RepaymentsOfLongTermDebtAndCapitalSecurities,2571600000.000,,,,1106400000.000,,,,1019900000.000
RestructuringSettlementAndImpairmentProvisions,-110000000.000,4600000.000,18100000.000,162900000.000,2900000.000,11600000.000,18100000.000,50400000.000,24300000.000
RevenueFromRelatedParties,,,,,,,,,3400000.000
Revenues,2432300000.000,2618600000.000,2607900000.000,1852000000.000,2537000000.000,2524500000.000,2519100000.000,2730200000.000,2767700000.000
SalesRevenueNet,2432300000.000,2618600000.000,2607900000.000,1852000000.000,2537000000.000,2524500000.000,2519100000.000,2730200000.000,2767700000.000
SegmentReportingRevenueReconcilingItemAmount,-21000000.000,-22900000.000,-22400000.000,,,,,,
SellingGeneralAndAdministrativeExpense,444000000.000,484100000.000,474200000.000,378100000.000,471400000.000,477900000.000,462600000.000,524200000.000,497900000.000
