,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableCurrent,0.000,0.000,0.000,,,,
AccruedLiabilitiesCurrent,16000.000,16000.000,20000.000,21000.000,21000.000,22000.000,25000.000
AdditionalPaidInCapitalCommonStock,104611000.000,104625000.000,104639000.000,104653000.000,104667000.000,104681000.000,104695000.000
Assets,8000.000,2000.000,9000.000,10000.000,9000.000,4000.000,5000.000
Cash,8000.000,2000.000,9000.000,10000.000,9000.000,4000.000,5000.000
CashAndCashEquivalentsAtCarryingValue,8000.000,2000.000,9000.000,10000.000,9000.000,4000.000,5000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,11086000.000,11086000.000,11086.000,11086000.000,11086000.000,11086000.000,11086000.000
CommonStockSharesOutstanding,11086000.000,11086000.000,11086.000,11086000.000,11086000.000,11086000.000,11086000.000
CommonStockValue,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000
DeferredTaxAssetsGross,,,,,,,26590000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,26590000.000
DeferredTaxAssetsValuationAllowance,,,,,,,26590000.000
LiabilitiesAndStockholdersEquity,8000.000,2000.000,9000.000,10000.000,9000.000,4000.000,5000.000
LiabilitiesCurrent,39000.000,39000.000,53000.000,69000.000,79000.000,80000.000,108000.000
NotesPayableRelatedPartiesClassifiedCurrent,23000.000,23000.000,33000.000,48000.000,58000.000,58000.000,83000.000
OperatingLossCarryforwards,,,,,,,78000000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,0.000,,,,,,
PreferredStockSharesOutstanding,0.000,,,,,,
PreferredStockValue,0.000,,,,,,
RetainedEarningsAccumulatedDeficit,-104652000.000,-104672000.000,-104693000.000,-104722000.000,-104747000.000,-104767000.000,-104808000.000
StockholdersEquity,-31000.000,-37000.000,-44000.000,-59000.000,-70000.000,-76000.000,-103000.000
