,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,1741000.000,1036000.000,1128000.000,1371000.000,1203000.000,1949000.000,1644000.000,2536000.000,3339000.000,3464000.000,3065000.000,3475000.000
AccountsReceivableNet,1725000.000,1749000.000,2687000.000,1794000.000,1706000.000,2241000.000,2367000.000,2512000.000,4887000.000,4568000.000,2768000.000,
AccountsReceivableNetCurrent,,,,,,,,,,,,3378000.000
AccruedLiabilitiesAndOtherLiabilities,3649000.000,1911000.000,1616000.000,1810000.000,1840000.000,2331000.000,2892000.000,5298000.000,7695000.000,8204000.000,5320000.000,5843000.000
AccruedProfessionalFeesCurrent,890000.000,391000.000,273000.000,378000.000,113000.000,431000.000,880000.000,286000.000,370000.000,662000.000,620000.000,299000.000
AccruedRoyaltiesCurrent,3526000.000,297000.000,241000.000,255000.000,268000.000,252000.000,242000.000,232000.000,261000.000,310000.000,263000.000,287000.000
AccruedRoyaltiesCurrentAndNoncurrent,0.000,0.000,0.000,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,11092000.000,,,,11873000.000,,,,14155000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,-1408000.000,-1831000.000,-3659000.000,-3395000.000
AdditionalPaidInCapital,9672000.000,200397000.000,200661000.000,201104000.000,201595000.000,202213000.000,202564000.000,203284000.000,226593000.000,235087000.000,235673000.000,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,236122000.000
Assets,33997000.000,62862000.000,61141000.000,63277000.000,61366000.000,59342000.000,55638000.000,48834000.000,100453000.000,102092000.000,76730000.000,80322000.000
AssetsCurrent,13530000.000,42011000.000,40346000.000,42301000.000,40005000.000,37969000.000,34362000.000,27666000.000,32461000.000,35123000.000,26673000.000,23076000.000
BusinessCombinationContingentConsiderationLiability,,194000.000,,,,,,,,,,
BusinessCombinationContingentConsiderationLiabilityNoncurrent,2313000.000,1037000.000,1074000.000,821000.000,963000.000,618000.000,948000.000,735000.000,638000.000,526000.000,492000.000,271000.000
CapitalLeaseObligationsCurrent,81000.000,79000.000,70000.000,64000.000,62000.000,76000.000,71000.000,63000.000,53000.000,175000.000,68000.000,43000.000
CapitalLeaseObligationsNoncurrent,,,106000.000,,,,57000.000,,,,26000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,197000.000,,,,151000.000,,,,103000.000,68000.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,81000.000,,,,75000.000,,,,74000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,0.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,7000.000,,,,5000.000,,,,0.000,0.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,42000.000,,,,16000.000,,,,5000.000,5000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,62000.000,,,,55000.000,,,,24000.000,24000.000
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,5000.000,,,,0.000,,,,0.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,21000.000,,,,23000.000,,,,9000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,176000.000,,,,128000.000,,,,94000.000,
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,,,,39000.000
CashAndCashEquivalentsAtCarryingValue,7872000.000,39048000.000,36431000.000,38985000.000,36894000.000,33954000.000,29888000.000,23752000.000,17144000.000,22265000.000,17258000.000,12187000.000
CommitmentsAndContingencies,,,,,,,,,,,0.000,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,10000000.000,100000000.000,100000000.000,100133900.000,100133900.000,100133900.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,1012959.000,11792746.000,11803970.000,11816796.000,11838794.000,11892518.000,11902363.000,11977491.000,18925076.000,21226343.000,21278373.000,21358292.000
CommonStockSharesOutstanding,1012959.000,11792746.000,11803970.000,11816796.000,11838794.000,11892518.000,11902363.000,11977491.000,18925076.000,21226343.000,21278373.000,21358292.000
CommonStockValue,1000.000,12000.000,12000.000,12000.000,12000.000,12000.000,12000.000,12000.000,19000.000,21000.000,21000.000,21000.000
CustomerRefundLiabilityCurrent,,,,,,,,,,,,225000.000
DebtAndCapitalLeaseObligations,,,,,,,15800000.000,15900000.000,28200000.000,26800000.000,24000000.000,32400000.000
DebtInstrumentFeeAmount,,75000.000,75000.000,,,,75000.000,,,,,
DebtInstrumentInterestRateStatedPercentage,,0.100,0.100,,,,0.100,,,,,
DebtInstrumentPeriodicPaymentTermsBalloonPaymentToBePaid,,1275000.000,1275000.000,,,,1275000.000,,,,,
