,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsReceivableGross,,,,,,,,,29112000000.000,27844000000.000,26584000000.000,25481000000.000,24473000000.000,23503000000.000,22670000000.000,21729000000.000,10307000000.000,9629000000.000,9156000000.000,8573000000.000,8160000000.000,0.000,,
AccountsReceivableNet,,,,,34956000000.000,33963000000.000,32939000000.000,31930000000.000,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,57000000.000,,,,55000000.000,,,,77000000.000,,,,21000000.000,,,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,109000000.000,124000000.000,115000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0.000,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,-444000000.000,-410000000.000,-358000000.000,-190000000.000,-152000000.000,-120000000.000,-97000000.000,-83000000.000,-74000000.000,-63000000.000,-52000000.000,-41000000.000,-32000000.000,-24000000.000,-15000000.000,-7000000.000,0.000,0.000,0.000,0.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,-10000000.000,10000000.000,26000000.000,26000000.000,25000000.000,25000000.000,11000000.000,11000000.000,11000000.000,10000000.000,13000000.000,13000000.000,13000000.000,13000000.000,-29000000.000,-28000000.000,-26000000.000,-26000000.000,-24000000.000,-23000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,7000000.000,11000000.000,11000000.000,-9000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0.000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-428000000.000,-452000000.000,-396000000.000,-345000000.000,-338000000.000,-285000000.000,-257000000.000,-225000000.000,-177000000.000,-145000000.000,-108000000.000,-94000000.000,-85000000.000,-73000000.000,-65000000.000,-54000000.000,-45000000.000,-37000000.000,14000000.000,21000000.000,26000000.000,26000000.000,24000000.000,-1000000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,,,,,0.000,,-1000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0.000,,,,,
AdditionalPaidInCapitalCommonStock,23321000000.000,23727000000.000,23966000000.000,23974000000.000,23967000000.000,23974000000.000,23974000000.000,23970000000.000,23964000000.000,23967000000.000,23968000000.000,23963000000.000,23963000000.000,23987000000.000,23987000000.000,23986000000.000,23989000000.000,23291000000.000,23245000000.000,23215000000.000,23183000000.000,23161000000.000,23138000000.000,23115000000.000
