,2011-06-25,2011-09-25
AccountsPayableCurrent,3617000.000,4123000.000
AccountsReceivableNetCurrent,12308000.000,9351000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,17178000.000,18132000.000
AdditionalPaidInCapitalCommonStock,37275000.000,37275000.000
Assets,65797000.000,63696000.000
AssetsCurrent,36422000.000,34087000.000
CashAndCashEquivalentsAtCarryingValue,6441000.000,7478000.000
DerivativeLiabilitiesCurrent,612000.000,790000.000
DueFromRelatedPartiesNoncurrent,56000.000,56000.000
DueToAffiliateCurrent,488000.000,514000.000
DueToOfficersOrStockholdersNoncurrent,4332000.000,4406000.000
FiniteLivedIntangibleAssetsNet,2642000.000,2677000.000
InventoryNet,10737000.000,10557000.000
Liabilities,11505000.000,12348000.000
LiabilitiesAndStockholdersEquity,65797000.000,63696000.000
LiabilitiesCurrent,6685000.000,7428000.000
MinorityInterest,130000.000,130000.000
OtherAccountsPayableAndAccruedLiabilities,2321000.000,2440000.000
PropertyPlantAndEquipmentNet,26677000.000,26876000.000
RetainedEarningsAccumulatedDeficit,-2042000.000,-5940000.000
StockholdersEquity,52420000.000,49476000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,52550000.000,49606000.000
TaxesPayableCurrent,135000.000,75000.000
TemporaryEquityCarryingAmount,1742000.000,1742000.000
TemporaryEquityParOrStatedValuePerShare,0.000,0.000
TemporaryEquitySharesAuthorized,5000000.000,5000000.000
TemporaryEquitySharesIssued,1742.000,1742.000
TemporaryEquitySharesOutstanding,1742.000,1742.000
