,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AllocatedShareBasedCompensationExpense,,,,,102000.000,,-60000.000,161000.000,83000.000,-110000.000
AmortizationOfFinancingCosts,,,,,,,378000.000,,,
AmortizationOfIntangibleAssets,,,,,,,1100000.000,1100000.000,1000000.000,900000.000
AssetImpairmentCharges,,,,,,,572000.000,4875000.000,85000.000,0.000
BusinessAcquisitionContingentConsiderationSharesIssuable,,,10440000.000,,,,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,1150000.000,,,,,
BusinessCombinationSeparatelyRecognizedTransactionsAdditionalDisclosuresAcquisitionCostExpensed,,,530000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-95400.000,,,,-829000.000,,,
ComprehensiveIncomeNetOfTax,,,,-3057000.000,147000.000,,-38364000.000,-26578000.000,-51346000.000,-14595000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,-37000.000,-19000.000,-48000.000,-10000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,-38401000.000,-26597000.000,-51394000.000,-14605000.000
CostOfGoodsSold,,,,72706000.000,87589000.000,,80984000.000,88144000.000,69542000.000,71047000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,20683000.000,,,
DepreciationAndAmortization,,,,,,,4412000.000,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,4000.000,0.000,,,-180000.000,0.000,
EarningsPerShareBasic,,,,-0.150,-0.060,,-1.870,-1.310,-2.430,-0.270
EarningsPerShareBasicAndDiluted,-0.030,-0.040,-1.800,,,,,,,
EarningsPerShareDiluted,,,,-0.150,-0.060,,-1.870,-1.310,-2.430,-0.270
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,174000.000,,,
EffectiveIncomeTaxRateContinuingOperations,,,,0.231,0.374,,-1.168,0.032,-0.005,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.350,0.350,,0.340,0.340,,
GainLossOnDispositionOfAssets1,,,,,,,,-180000.000,0.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,-22195000.000,
GeneralAndAdministrativeExpense,34515.000,85573.000,775684.000,,,,,,,
GoodwillAcquiredDuringPeriod,,,,,,,0.000,,,
GoodwillAndIntangibleAssetImpairment,,,,,,,,3216000.000,0.000,
GoodwillImpairmentLoss,,,,,,,,100000.000,,
GoodwillTranslationAdjustments,,,,,,,0.000,,,
GrossProfit,,,,28143000.000,22727000.000,,13858000.000,11650000.000,11625000.000,7131000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,1659000.000,85000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-77460.000,-107284.000,-5476886.000,-2862000.000,-1768000.000,-4769114.000,-17702000.000,-27818000.000,-38346000.000,1573000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,-38545000.000,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,-1.870,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,-1.870,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,-10872000.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,-0.530,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,-0.530,
IncomeTaxExpenseBenefit,0.000,325.000,0.000,-662000.000,-661000.000,3865000.000,20674000.000,-901000.000,199000.000,279000.000
IncomeTaxesPaid,,,,,,,93000.000,,,
IncreaseDecreaseInAccountsPayable,,,,,,,-10750000.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,589284.000,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,-1329000.000,,,
IncreaseDecreaseInInventories,,,,,,,-2518000.000,,,
IncreaseDecreaseInOperatingAssets,,,,,,,573000.000,,,
IncreaseDecreaseInOperatingLiabilities,,,,,,,-314000.000,,,
IncreaseDecreaseInOtherOperatingAssets,,,91000.000,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,0.000,,,,,,,
IncreaseDecreaseInReceivables,,,,,,,-7732000.000,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,0.000,,,,,
InterestExpense,,,,12649000.000,5498000.000,,5561000.000,5607000.000,6495000.000,6363000.000
InterestPaid,,,,,,,5183000.000,,,
InventoryLIFOReserveEffectOnIncomeNet,,,,,,,-992000.000,,,
LicensesRevenue,,,,1613000.000,1664000.000,,1596000.000,1615000.000,1631000.000,1562000.000
LiquidityDisclosureFutureObligationsNotExpectedToBeRepaidAmount,,,50000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,0.000,,,,17841000.000,,,
