,2011-08-31,2011-11-30,2012-05-31,2012-08-31,2012-11-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-221.000,,
CostOfGoodsSold,54.000,,,423.000,
EarningsPerShareBasicAndDiluted,-0.100,0.000,0.000,-0.010,-2.120
GeneralAndAdministrativeExpense,,,884361.000,2114402.000,576941.000
GoldProductsAndServicesRevenue,,,,,218.000
GrossProfit,5682.000,652.000,624.000,-303.000,4218.000
IncomeLossFromContinuingOperations,-1293125.000,-259855.000,-883737.000,-2114705.000,-572723.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-5865.000,,
IncreaseDecreaseInNotesPayableRelatedParties,,,225000.000,,
InterestExpense,,,,6644.000,6590.000
InterestIncomeExpenseNet,,24.000,8.000,1.000,
NetCashProvidedByUsedInFinancingActivities,,,225000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,225000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-225221.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-225221.000,,
NetIncomeLoss,-1293125.000,-259831.000,-883729.000,-2121348.000,-579313.000
OtherIncome,,24.000,8.000,-6643.000,-6590.000
Revenues,5736.000,652.000,624.000,120.000,4218.000
RoyaltyRevenue,,,,,4000.000
SalesRevenueGoodsNet,754.000,100.000,,,
SalesRevenueNet,5736.000,628.000,616.000,6763.000,10808.000
SellingAndMarketingExpense,1298807.000,260507.000,,,
ShareBasedCompensation,,,664373.000,,
WeightedAverageNumberOfSharesOutstandingBasic,12570399.000,83854316.000,280490856.000,280529986.000,273635.000
