,2011-06-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,219685000.000,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,,198000.000,871000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,157000.000,166000.000,266000.000,188000.000,,,
AdministrativeFeesAmountPaid,,,,,,3000000.000,,
AllocatedShareBasedCompensationExpense,,,200000.000,300000.000,,,,
AmortizationOfFinancingCostsAndDiscounts,,1838000.000,,,,2007000.000,-2721000.000,-2786000.000
AmortizationOfIntangibleAssets,1703000.000,1838000.000,1844000.000,1929000.000,1929000.000,2007000.000,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,2964000.000,896000.000,777000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-4693000.000,,,,-11035000.000,12574000.000,
CasinoExpenses,18213000.000,21241000.000,20189000.000,19228000.000,18511000.000,19649000.000,19027000.000,18546000.000
CasinoRevenue,88006000.000,95368000.000,87861000.000,83612000.000,79703000.000,85613000.000,85243000.000,77209000.000
CurrentStateAndLocalTaxExpenseBenefit,313000.000,74000.000,73000.000,74000.000,-10000.000,64000.000,74000.000,74000.000
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,,0.022,0.022
DeferredStateAndLocalIncomeTaxExpenseBenefit,-2151000.000,1682000.000,1682000.000,1682000.000,1681000.000,1682000.000,1499000.000,1499000.000
DepreciationAndAmortization,10317000.000,8632000.000,8548000.000,7443000.000,7641000.000,7595000.000,6358000.000,6142000.000
DepreciationDepletionAndAmortization,,8632000.000,,,,7595000.000,6358000.000,
DirectCostsOfHotels,2192000.000,2617000.000,2493000.000,2555000.000,2354000.000,2685000.000,2632000.000,2689000.000
EarningsPerShareBasic,-53.900,-38.090,-72.490,-72.680,-91.380,-100.700,-44.770,-60.380
EarningsPerShareBasicAndDiluted,,,-72049.000,-72.680,,-100.700,-44.770,-60.380
EarningsPerShareDiluted,-53.900,-38.090,-72.490,-72.680,-91.380,-100.700,-44.770,-60.380
FoodAndBeverageCostOfSales,4635000.000,4759000.000,4007000.000,3377000.000,3349000.000,4287000.000,4261000.000,4113000.000
FoodAndBeverageRevenue,5782000.000,6420000.000,5845000.000,5232000.000,5330000.000,5939000.000,6194000.000,5569000.000
GeneralAndAdministrativeExpense,11495000.000,12340000.000,12050000.000,12122000.000,11643000.000,12036000.000,13060000.000,11297000.000
