,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,110000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,,,550000.000
BusinessAcquisitionsProFormaNetIncomeLoss,-446406.000,-1039059.000,-1432079.000,-1045453.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,231572.000,,,,3874000.000
DebtConversionConvertedInstrumentAmount1,,,,,190000.000
DebtConversionConvertedInstrumentSharesIssued1,,,800057.000,,2116640.000
DebtConversionOriginalDebtAmount1,,,,,320000.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,,38000.000
DepreciationDepletionAndAmortization,,652.000,977.000,,4000.000
EarningsPerShareBasicAndDiluted,-0.050,-0.110,-0.120,-0.120,-0.020
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.000
FairValueAdjustmentOfWarrants,,,,,-1059000.000
FairValueAssumptionsExpectedDividendRate,,,,,0.000
GeneralAndAdministrativeExpense,305571.000,618001.000,924041.000,533811.000,848000.000
IncomeTaxesPaidNet,0.000,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,40213.000,,,,49000.000
IncreaseDecreaseInPrepaidExpense,,,,,55000.000
InterestExpense,11670.000,15235.000,10402.000,5907.000,1000.000
InterestPaid,0.000,,,,0.000
NetCashProvidedByUsedInFinancingActivities,551499.000,,,,5265000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,551499.000,,,,5265000.000
NetCashProvidedByUsedInInvestingActivities,-30000.000,,,,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-30000.000,,,,0.000
NetCashProvidedByUsedInOperatingActivities,-289927.000,,,,-1391000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-289927.000,,,,-1391000.000
NetIncomeLoss,-332241.000,-995616.000,-1432079.000,-1166425.000,-329000.000
OperatingExpenses,320571.000,980381.000,1421677.000,1160518.000,1535000.000
OperatingIncomeLoss,-320571.000,-980381.000,-1421677.000,-1160518.000,-1535000.000
OtherNonoperatingExpense,,,,,1000.000
PaymentsToAcquireNotesReceivable,30000.000,,,,0.000
ProceedsFromIssuanceInitialPublicOffering,,,,,4460000.000
ProceedsFromIssuanceOfCommonStock,386499.000,,,,
ProceedsFromNotesPayable,165000.000,,,,0.000
ProceedsFromWarrantExercises,,,,,805000.000
ResearchAndDevelopmentExpense,15000.000,361728.000,496659.000,622174.000,683000.000
Revenues,0.000,0.000,0.000,0.000,0.000
SalesRevenueNet,0.000,0.000,0.000,0.000,0.000
ShareBasedCompensation,2101.000,,,,110000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,,,48500.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,20000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,1.760
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,2.310
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedWeightedAverageGrantDateFairValue,,,,,0.000
StockIssuedDuringPeriodSharesNewIssues,128833.000,,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,190000.000
StockIssuedDuringPeriodValueIssuedForServices,,,,,89000.000
StockIssuedDuringPeriodValueNewIssues,386499.000,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,6717767.000,8875173.000,11579239.000,-17344669.000,14590220.000
