,2011-02-07,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,,8622000.000,8971000.000,7965000.000,7756000.000,8093000.000,8841000.000,8873000.000,9733000.000,8752000.000,8933000.000,12625000.000,10957000.000,11427000.000,16283000.000,10549000.000,11158000.000,13657000.000,11623000.000,11259000.000,10801000.000,12203000.000,10218000.000,9313000.000,9431000.000,9268000.000
AccountsReceivableNetCurrent,,36625000.000,41535000.000,38722000.000,46368000.000,46193000.000,45344000.000,45940000.000,48916000.000,46978000.000,44430000.000,49936000.000,52174000.000,59563000.000,61064000.000,52571000.000,56589000.000,64214000.000,65140000.000,60584000.000,62199000.000,61444000.000,61773000.000,52689000.000,58032000.000,62333000.000
AccruedEmployeeBenefitsCurrent,,,,,,,8786000.000,,,,8149000.000,,,,12055000.000,,,,13751000.000,,,,13665000.000,,,
AccruedIncomeTaxesCurrent,,,,,,,1625000.000,,,,2003000.000,,,,6362000.000,,,,2433000.000,,,,1181000.000,,,
AccruedLiabilitiesCurrent,,14732000.000,18706000.000,15364000.000,16831000.000,12553000.000,17170000.000,17296000.000,16793000.000,17533000.000,16070000.000,24845000.000,24127000.000,27663000.000,25542000.000,25153000.000,21686000.000,24165000.000,24436000.000,22835000.000,24234000.000,23047000.000,27512000.000,26311000.000,24324000.000,26210000.000
AccruedProfessionalFeesCurrent,,,,,,,1824000.000,,,,2322000.000,,,,1808000.000,,,,1105000.000,,,,1528000.000,,,
AccruedRoyaltiesCurrent,,,,,,,990000.000,,,,323000.000,,,,218000.000,,,,352000.000,,,,323000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,34060000.000,,,,39906000.000,,,,48211000.000,,,,57325000.000,,,,65136000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,,,,-3000.000,,,,24000.000,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-4462000.000,-4524000.000,-6628000.000,-6928000.000,-5300000.000,-6564000.000,-4171000.000,-3224000.000,-10244000.000,-10460000.000,-537000.000,3300000.000,4751000.000,6816000.000,-7053000.000,-15235000.000,-18365000.000,-13511000.000,-19972000.000,-23928000.000,-22146000.000,-37668000.000,-38767000.000,-46608000.000,-43955000.000
AdditionalPaidInCapitalCommonStock,,402573000.000,408375000.000,422173000.000,427797000.000,433859000.000,438732000.000,443933000.000,478737000.000,493938000.000,499182000.000,505206000.000,512338000.000,523890000.000,530377000.000,537422000.000,543761000.000,552182000.000,560083000.000,568013000.000,576190000.000,584250000.000,591800000.000,600022000.000,608717000.000,616119000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,432000.000,429000.000,452000.000,482000.000,537000.000,586000.000,684000.000,793000.000,829000.000,769000.000,764000.000,814000.000,822000.000,862000.000,886000.000,873000.000,914000.000,924000.000,988000.000,954000.000,974000.000,982000.000,960000.000,848000.000,866000.000
Assets,,323178000.000,363334000.000,369306000.000,382599000.000,388005000.000,392371000.000,408502000.000,638262000.000,580903000.000,585522000.000,642556000.000,647070000.000,676825000.000,700343000.000,674656000.000,659930000.000,688767000.000,688484000.000,656409000.000,655958000.000,678560000.000,652887000.000,628433000.000,601479000.000,629036000.000
AssetsCurrent,,192632000.000,168860000.000,182531000.000,195918000.000,179563000.000,185671000.000,169933000.000,346816000.000,345701000.000,352750000.000,266042000.000,275334000.000,301370000.000,280780000.000,274599000.000,269212000.000,236029000.000,229241000.000,209030000.000,210925000.000,231345000.000,216541000.000,197707000.000,190071000.000,220951000.000
AvailableForSaleSecurities,,,,,,,,,,,9470000.000,22536000.000,23617000.000,22388000.000,23725000.000,24926000.000,23715000.000,23859000.000,23160000.000,24100000.000,23713000.000,33322000.000,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,,,,,10000.000,10000.000,49000.000,9000.000,7000.000,12000.000,38000.000,34000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,,,,,,4205000.000,7797000.000,5865000.000,,11241000.000,11801000.000,7823000.000,7415000.000,4906000.000,18316000.000,11290000.000,6989000.000,12708000.000,12216000.000,12146000.000
AvailableForSaleSecuritiesCurrent,,,,,,,,,,,,,,,,,,,,,,,35146000.000,,,
