,2011-03-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableCurrent,416600000.000,455200000.000,546800000.000,562400000.000,550200000.000,528200000.000,664200000.000,655000000.000,646200000.000,653800000.000,750700000.000,707700000.000,711900000.000,707800000.000,723500000.000,612900000.000,601700000.000,537400000.000,519300000.000,418000000.000,415000000.000,375300000.000
AccruedIncomeTaxesCurrent,34100000.000,49600000.000,117700000.000,102100000.000,128000000.000,143100000.000,40200000.000,44400000.000,17300000.000,34000000.000,138100000.000,125900000.000,108300000.000,95300000.000,152900000.000,149300000.000,103700000.000,85700000.000,57200000.000,56700000.000,41000000.000,42800000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,501800000.000,516200000.000,528000000.000,562900000.000,568500000.000,606300000.000,643700000.000,667000000.000,695400000.000,738000000.000,770200000.000,790700000.000,825500000.000,835900000.000,833400000.000,835900000.000,882800000.000,878900000.000,892100000.000,931800000.000,957300000.000,993900000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,-14300000.000,-16700000.000,-4400000.000,-11100000.000,7600000.000,10000000.000,-14300000.000,2700000.000,25400000.000,31900000.000,29200000.000,16600000.000,-22100000.000,-77300000.000,-105700000.000,-61400000.000,-83300000.000,-87100000.000,-40800000.000,-43600000.000,-28600000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,199900000.000,324300000.000,319700000.000,-314500000.000,-307700000.000,301400000.000,296300000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,-86600000.000,-102800000.000,-79200000.000,-136500000.000,-109700000.000,-104600000.000,-133700000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-211100000.000,-300800000.000,-443800000.000,-403300000.000,-462100000.000,-409800000.000,-396000000.000,-444300000.000,-472300000.000,-435700000.000,-340700000.000,-331300000.000,-333700000.000,-430100000.000,-683700000.000,-807800000.000,-731400000.000,-857000000.000,-872700000.000,-788900000.000,-762500000.000,-745200000.000
AdditionalPaidInCapitalCommonStock,684500000.000,694000000.000,700000000.000,668500000.000,677600000.000,687600000.000,697200000.000,684300000.000,696800000.000,708200000.000,714700000.000,710200000.000,720000000.000,727400000.000,731900000.000,734700000.000,744000000.000,751500000.000,759000000.000,750500000.000,761600000.000,764100000.000
AllowanceForDoubtfulAccountsReceivableCurrent,9000000.000,7900000.000,7800000.000,6600000.000,4400000.000,5300000.000,6100000.000,5400000.000,5100000.000,4900000.000,7400000.000,9300000.000,9600000.000,9400000.000,9400000.000,13000000.000,13200000.000,15200000.000,19200000.000,20900000.000,17400000.000,17200000.000
Assets,3891800000.000,4061000000.000,4271000000.000,4506600000.000,5013500000.000,5536700000.000,5902900000.000,6075100000.000,6116500000.000,6424900000.000,6605600000.000,6727200000.000,6754000000.000,7034400000.000,7175600000.000,6971200000.000,6893900000.000,6711200000.000,6437900000.000,6313200000.000,6160800000.000,5963700000.000
AssetsCurrent,2532000000.000,2691600000.000,2787900000.000,2916600000.000,3125500000.000,3563300000.000,3488300000.000,3628500000.000,3666300000.000,3915300000.000,4023000000.000,4110600000.000,4102000000.000,4403400000.000,4436400000.000,4242500000.000,4231600000.000,4195600000.000,3948700000.000,3837900000.000,3705200000.000,3502300000.000
AssetsFairValueDisclosureRecurring,,167500000.000,147300000.000,183500000.000,100400000.000,115200000.000,118200000.000,176300000.000,230800000.000,231500000.000,276000000.000,218900000.000,206700000.000,204000000.000,368300000.000,486000000.000,336800000.000,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,,,,17900000.000,,
AvailableForSaleSecurities,,,0.000,,,,0.000,,,,,,,,,,,,,,,
BillingsInExcessOfCost,560400000.000,502000000.000,450200000.000,423000000.000,447900000.000,515000000.000,501600000.000,577500000.000,687800000.000,,,,,,,,,,,,,
BillingsInExcessOfCostCurrent,,,,,,,,,,793000000.000,803200000.000,934000000.000,859300000.000,1036600000.000,965200000.000,793300000.000,787300000.000,656300000.000,664600000.000,630000000.000,146400000.000,110400000.000
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,,331800000.000,331800000.000,618800000.000,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,281400000.000,486700000.000,486700000.000,773700000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,0.550,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,,,,,182100000.000,181000000.000,239200000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,,,,,292500000.000,291400000.000,562200000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,,,,,4200000.000,4200000.000,4400000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,,,,,50700000.000,50700000.000,54000000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,,,,,2300000.000,2300000.000,4400000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,,,,,30600000.000,30600000.000,75400000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,,,,,49200000.000,49200000.000,87300000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,,,,,,,-12600000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,,245300000.000,246400000.000,331900000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,,,,,51100000.000,51100000.000,120400000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationNoncurrentLiabilitiesLongTermDebt,,,,,,,18600000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentAssets,,,,,700000.000,700000.000,700000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentLiabilities,,,,,1900000.000,1900000.000,1900000.000,,,,,,,,,,,,,,,
