,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-7284000.000,-8562000.000,-6473000.000,-6397000.000,-9047000.000,-11509000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,398000.000,363000.000,292000.000,238000.000,3365000.000,4423000.000
AllocatedShareBasedCompensationExpense,,,,75000.000,328000.000,419000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,0.000,0.000,0.000,0.000
AllowanceForLoanAndLeaseLossesLoansAcquired,,26682000.000,,,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,2290000.000,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,0.000,,,,
AmortizationOfAcquisitionCosts,-12849000.000,-25211000.000,,,,
AmortizationOfDeferredLoanOriginationFeesNet,90000.000,181000.000,862000.000,525000.000,295000.000,398000.000
AmortizationOfIntangibleAssets,,,1191000.000,2284000.000,2537000.000,3074000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,1143598.000,1110465.000,928692.000,470852.000,30784.000
AssetImpairmentCharges,,614000.000,,1152000.000,731000.000,353000.000
AvailableForSaleSecuritiesGrossRealizedGains,,2706000.000,1060000.000,1175000.000,303000.000,13000.000
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,16305000.000,142075000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,283000.000,,1129000.000,,0.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,3464000.000,2423000.000,1060000.000,46000.000,4000.000,13000.000
AvailableforsaleSecuritiesGrossRealizedLossesExcludingOtherThanTemporaryImpairments,,,,,299000.000,
BankOwnedLifeInsuranceIncome,967000.000,1436000.000,1328000.000,1767000.000,2346000.000,2534000.000
BusinessCombinationAcquisitionRelatedCosts,7696000.000,2714000.000,722000.000,11542000.000,693000.000,11444000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,57020000.000,453000.000,,,,
CashAcquiredFromAcquisition,77577000.000,81061000.000,,130494000.000,12537000.000,41885000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-26420000.000,-14347000.000,38141000.000,-16476000.000,-5931000.000,23172000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,24379000.000,32725000.000,34168000.000,40645000.000,34006000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,16483000.000,41454000.000,14892000.000,28394000.000,6220000.000
CommonStockDividendsPerShareCashPaid,0.040,0.040,0.040,0.040,,
ComprehensiveIncomeNetOfTax,10706000.000,11491000.000,460000.000,21501000.000,36723000.000,32329000.000
CurrentFederalTaxExpenseBenefit,,-32000.000,4423000.000,4384000.000,14639000.000,15172000.000
CurrentIncomeTaxExpenseBenefit,,239000.000,5478000.000,5393000.000,17559000.000,18263000.000
CurrentStateAndLocalTaxExpenseBenefit,,271000.000,1055000.000,1009000.000,2920000.000,3091000.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,501000.000,569000.000,580000.000,618000.000,609000.000
DeferredFederalIncomeTaxExpenseBenefit,,3761000.000,27000.000,1486000.000,4297000.000,3127000.000
DeferredIncomeTaxExpenseBenefit,3300000.000,4386000.000,32000.000,1733000.000,5012000.000,3647000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,625000.000,5000.000,247000.000,715000.000,520000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,1144000.000,1219000.000,1398000.000,1617000.000,1849000.000
DepreciationNonproduction,4207000.000,5678000.000,5876000.000,6066000.000,5716000.000,6373000.000
DividendsCommonStock,1201000.000,1203000.000,,,,
DividendsCommonStockCash,,,1204000.000,1709000.000,3181000.000,7681000.000
EarningsPerShareBasic,0.260,0.330,0.410,0.320,0.870,0.890
EarningsPerShareDiluted,0.260,0.330,0.410,0.310,0.850,0.880
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.350,0.350,0.350,0.350
FDICIndemnificationAssetAccretionOfDiscount,,,13807000.000,20743000.000,,
FDICIndemnificationAssetAcquisitions,,,,2636000.000,,
FDICIndemnificationAssetCashPaymentsReceived,,,42004000.000,-10014000.000,4662000.000,5482000.000
FDICIndemnificationAssetNetWriteOffs,,,513000.000,116000.000,214000.000,0.000
FederalIncomeTaxExpenseBenefitContinuingOperations,,3729000.000,4450000.000,5870000.000,18936000.000,18299000.000
FeesAndCommissionsDepositorAccounts,6316000.000,6598000.000,8457000.000,9542000.000,9745000.000,13564000.000
FeesAndCommissionsOther,2802000.000,3598000.000,985000.000,1990000.000,1943000.000,
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,,,,,1995000.000,1103000.000
FinitelivedIntangibleAssetsAcquired1,,,13187000.000,24756000.000,24893000.000,31175000.000
ForeclosedRealEstateExpense,5023000.000,5640000.000,3191000.000,2775000.000,2334000.000,2392000.000
GainLossOnSaleOfPropertyPlantEquipment,17000.000,233000.000,12000.000,19000.000,-19000.000,-1000.000
GainLossOnSalesOfLoansNet,143000.000,270000.000,333000.000,511000.000,566000.000,833000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,308000.000
GainsLossesOnSalesOfInvestmentRealEstate,,,31000.000,174000.000,41000.000,797000.000
GainsLossesOnSalesOfOtherRealEstate,,,-3122000.000,788000.000,,
GoodwillAcquiredDuringPeriod,,6889000.000,,31815000.000,0.000,29289000.000
GoodwillImpairmentLoss,,,,,0.000,0.000
ImpairedFinancingReceivableAverageRecordedInvestment,,48515000.000,38674000.000,26301000.000,22770000.000,23644000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,1671000.000,1223000.000,579000.000,584000.000,467000.000
ImpairmentChargeOnReclassifiedAssets,,614000.000,,2256000.000,772000.000,1150000.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,17753000.000,20090000.000,61909000.000,64251000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,11328000.000,14530000.000,,,,
IncomeTaxExpenseBenefit,3419000.000,4625000.000,5510000.000,7126000.000,22571000.000,21910000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,4940000.000,6214000.000,7032000.000,21668000.000,22488000.000
IncomeTaxReconciliationNondeductibleExpenseLifeInsurance,,-412000.000,391000.000,549000.000,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,,104000.000,100000.000,83000.000,76000.000,81000.000
IncomeTaxReconciliationOtherAdjustments,,327000.000,-195000.000,117000.000,58000.000,-205000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,591000.000,689000.000,817000.000,2363000.000,2347000.000
IncomeTaxReconciliationTaxExemptIncome,,925000.000,907000.000,910000.000,851000.000,2364000.000
IncomeTaxesPaid,235000.000,10000.000,3473000.000,8447000.000,14602000.000,20519000.000
IncreaseDecreaseInDeposits,-77413000.000,-339200000.000,59450000.000,-125063000.000,109202000.000,232467000.000
IncreaseDecreaseInFederalFundsPurchased,13871000.000,15692000.000,9023000.000,-122083000.000,-48258000.000,-61736000.000
IncreaseDecreaseInOtherOperatingAssets,-10749000.000,1721000.000,-5966000.000,-8467000.000,9372000.000,3585000.000
IncreaseDecreaseInOtherOperatingLiabilities,-2805000.000,-851000.000,2687000.000,727000.000,12674000.000,131000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,67904.000,117350.000,383550.000,606408.000,782381.000
InformationTechnologyAndDataProcessing,4680000.000,3988000.000,3784000.000,5484000.000,4679000.000,6867000.000
