,2013-12-31,2014-06-30,2015-03-31,2015-06-30,2015-12-31,2016-03-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,5091.000,,,,,,109257.000
DebtInstrumentDecreaseForgiveness,,,,,,,164617.000
DepreciationDepletionAndAmortization,,,,,,,3739.000
EarningsPerShareBasic,-0.000,0.000,-0.000,0.000,,,
EarningsPerShareBasicAndDiluted,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,-846.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,,,,0.340,0.340,
GeneralAndAdministrativeExpense,126.000,1553.000,81.000,161.000,,,111560.000
GrossProfit,,,,,,,353513.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,5600.000,,,,16375.000,2329.000,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-5600.000,,,,-16375.000,-2329.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-2000.000,,,,,-805.000,-40591.000
IncreaseDecreaseInNotesPayableRelatedParties,,,,,,5984.000,
IncreaseDecreaseInPrepaidExpense,-935.000,,,,,-1670.000,83120.000
NetCashProvidedByUsedInFinancingActivities,24500.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,24500.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,-19409.000,,,,,,110103.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-19409.000,,,,,,110103.000
NetIncomeLoss,-16474.000,-6374.000,-2462.000,-29834.000,-4884.000,-6849.000,230075.000
OperatingExpenses,16474.000,6374.000,2462.000,29834.000,4884.000,6849.000,123438.000
OperatingIncomeLoss,-16474.000,-6374.000,-2462.000,-29834.000,-4884.000,-6849.000,230075.000
OtherExpenses,,,,,,,991.000
PaymentsForFees,,,,,,,10000.000
ProceedsFromContributedCapital,,,,,0.000,,
ProceedsFromRelatedPartyDebt,24500.000,,,,,,
ProfessionalFees,16348.000,4821.000,2381.000,29673.000,4884.000,5000.000,10887.000
SalesRevenueGoodsNet,,,,,,,353513.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,12200000.000,14600000.000,14600000.000,146000000.000,146000000.000,146000000.000,1146000000.000
