,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30
AccountsPayableAndAccruedLiabilitiesCurrent,9642000.000,10684000.000,10769000.000,8193000.000,12600000.000,12324000.000,12366000.000,11322000.000,12353000.000,12263000.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,9642000.000,10684000.000,,,,,,,,
AccountsPayableTradeCurrent,3005000.000,3159000.000,1582000.000,2191000.000,3405000.000,4216000.000,3242000.000,4078000.000,4285000.000,3502000.000
AccountsReceivableNetCurrent,15992000.000,19776000.000,20670000.000,13873000.000,11345000.000,21490000.000,21995000.000,15310000.000,11807000.000,18134000.000
AccruedLiabilitiesCurrent,,,,,,,,1310000.000,1292000.000,1576000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,15153000.000,15380000.000,14426000.000,14725000.000,15219000.000,15761000.000,16324000.000,16625000.000,17257000.000,17846000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-16000.000,-17000.000,-17000.000,-25000.000,-42000.000,47000.000,31000.000,57000.000,52000.000,13000.000
AdditionalPaidInCapital,358425000.000,359048000.000,360280000.000,361801000.000,372876000.000,374780000.000,426031000.000,427849000.000,435155000.000,437154000.000
AllowanceForDoubtfulAccountsReceivable,29000.000,12000.000,55000.000,67000.000,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,29000.000,12000.000,55000.000,67000.000,53000.000,74000.000,78000.000,81000.000,113000.000,80000.000
Assets,66939000.000,68996000.000,73468000.000,63549000.000,78876000.000,78728000.000,130711000.000,118581000.000,122244000.000,111974000.000
AssetsCurrent,59831000.000,55872000.000,58433000.000,48822000.000,31163000.000,37060000.000,83472000.000,70126000.000,50625000.000,46960000.000
AssetsFairValueDisclosure,42909000.000,42318000.000,45827000.000,42713000.000,15646000.000,10471000.000,62414000.000,60063000.000,33691000.000,19659000.000
AvailableForSaleSecurities,,,,32911000.000,8606000.000,,31212000.000,35310000.000,24416000.000,6171000.000
AvailableForSaleSecuritiesAmortizedCost,23936000.000,36925000.000,39413000.000,32910000.000,8612000.000,,31214000.000,35296000.000,24402000.000,6170000.000
AvailableForSaleSecuritiesFairValueDisclosure,23935000.000,36930000.000,39427000.000,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,6800000.000,
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,,,,13988000.000,9960000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,,15986000.000,16859000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,923000.000,923000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,,,,,,247000.000,1120000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,,,1274000.000,1274000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,,,,,,2169000.000,3125000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesDeferredRevenue,,,,,,1154000.000,1154000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,,,,,,3689000.000,1394000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,,,,,,12900000.000,12900000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,,,,,,14185000.000,12845000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,1801000.000,4014000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,,,,,,7126000.000,7126000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,,,,,,47000.000,46000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,,,,,,227000.000,227000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,61000.000,61000.000,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,26570000.000,26570000.000,,,
CapitalLeaseObligationsCurrent,,,,,,,,1643000.000,1689000.000,1715000.000
CapitalLeaseObligationsNoncurrent,,,,,,,,1101000.000,975000.000,978000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,2925000.000,2837000.000,2874000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,122000.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,196000.000,317000.000,499000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,1378000.000,1539000.000,1720000.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,180000.000,335000.000,366000.000,,181000.000,173000.000,181000.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,2281000.000,4069000.000,5069000.000,,2744000.000,2664000.000,2693000.000
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,1351000.000,981000.000,533000.000
CapitalizedComputerSoftwareGross,,,1512000.000,,,,2000000.000,,,
CapitalizedComputerSoftwareNet,,,1855000.000,,,,1300000.000,,,
CashAndCashEquivalentsAtCarryingValue,29479000.000,18084000.000,20262000.000,15709000.000,12949000.000,12381000.000,42723000.000,31349000.000,12920000.000,18900000.000
CommonStockCapitalSharesReservedForFutureIssuance,2736701.000,5492338.000,5112830.000,4808920.000,5819041.000,5665353.000,5560641.000,6956561.000,6887606.000,6744706.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,25055452.000,25033463.000,25424361.000,25739216.000,26460524.000,26614212.000,28825098.000,28850000.000,29177000.000,29314000.000
CommonStockSharesOutstanding,25055452.000,25033463.000,25424361.000,25739216.000,26460524.000,26614212.000,28825098.000,28850000.000,29177000.000,29314000.000
CommonStockValue,25000.000,25000.000,25000.000,26000.000,26000.000,27000.000,29000.000,29000.000,29000.000,29000.000
CommonStockholdersEquity,20006000.000,,,,,,,,,
ConvertiblePreferredStockSharesIssuedUponConversion,14845528.000,,,,,,,,,
DebtAndCapitalLeaseObligations,,1600000.000,2300000.000,,,,,,,
DeferredOfferingCosts,0.000,,,,,,,,,
DeferredRevenueCurrent,34111000.000,34884000.000,39789000.000,35180000.000,29879000.000,34249000.000,43672000.000,39151000.000,34223000.000,33705000.000
DeferredRevenueNoncurrent,1334000.000,1347000.000,1898000.000,1918000.000,1930000.000,2222000.000,1587000.000,924000.000,1525000.000,2472000.000
DeferredTaxAssetsDeferredIncome,,,1684000.000,,,,2855000.000,,,
DeferredTaxAssetsGross,,,103159000.000,,,,111770000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,218000.000,,,,-629000.000,,,
DeferredTaxAssetsNet,0.000,0.000,1251000.000,,,,2756000.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,93992000.000,,,,97987000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,,1244000.000,,,,1785000.000,,,
DeferredTaxAssetsOther,,,,,,,1493000.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,147000.000,,,,975000.000,,,
DeferredTaxAssetsStateTaxes,,,3000.000,,,,-1000.000,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,4782000.000,,,,5212000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,284000.000,,,,1285000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,2267000.000,,,,1964000.000,,,
DeferredTaxAssetsValuationAllowance,,,101908000.000,,,,109014000.000,,,
DeferredTaxLiabilities,,,1033000.000,,,,3385000.000,,,
DeferredTaxLiabilitiesNoncurrent,,,,,3689000.000,3440000.000,,,,
DeferredTaxLiabilitiesOther,,,1033000.000,,,,,,,
DerivativeFairValueOfDerivativeNet,,,,,,,,,101000.000,-364000.000
EmployeeRelatedLiabilitiesCurrent,4846000.000,5628000.000,7701000.000,4681000.000,6762000.000,6557000.000,7494000.000,5934000.000,6776000.000,7185000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,2858000.000,6313000.000,5370000.000,5113000.000,7173000.000,8100000.000,7700000.000,7100000.000,8300000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,,2655000.000,,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,14540.000,10553.000,6566.000,2736.000,,,,,,6700000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,2580000.000,2580000.000,5680000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,1935000.000,2840000.000,1420000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,1075000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,2580000.000,,,5680000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,2580000.000,2580000.000,5680000.000,5680000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,2580000.000,2580000.000,5680000.000,5680000.000
FiniteLivedIntangibleAssetsNet,,,,,,,11395000.000,10750000.000,24856000.000,23436000.000
ForeignCurrencyDerivativesAtFairValueNet,94000.000,-66000.000,-154000.000,-62000.000,-170000.000,-15000.000,-103000.000,71000.000,,
Goodwill,,,,,25708000.000,24769000.000,22556000.000,22556000.000,35992000.000,35992000.000
IntangibleAssetsNetExcludingGoodwill,,,,,12817000.000,12040000.000,11395000.000,10750000.000,24856000.000,23436000.000
InterestPortionOfMinimumLeasePaymentsSaleLeasebackTransactions,,,96000.000,,,,,,,
Liabilities,46933000.000,48450000.000,54375000.000,48336000.000,58528000.000,63768000.000,70887000.000,64231000.000,69942000.000,66779000.000
LiabilitiesAndStockholdersEquity,66939000.000,68996000.000,73468000.000,63549000.000,78876000.000,78728000.000,130711000.000,118581000.000,122244000.000,111974000.000
LiabilitiesCurrent,44942000.000,46481000.000,51407000.000,44860000.000,49968000.000,54942000.000,64506000.000,58895000.000,64007000.000,59843000.000
LiabilitiesFairValueDisclosure,,121000.000,158000.000,75000.000,170000.000,84000.000,163000.000,,-6800000.000,-7164000.000
LongTermDebtAndCapitalLeaseObligations,,210000.000,562000.000,794000.000,1889000.000,2142000.000,2599000.000,2372000.000,2610000.000,2557000.000
LongTermDebtAndCapitalLeaseObligationsCurrent,1189000.000,913000.000,849000.000,1487000.000,2180000.000,2927000.000,2995000.000,2975000.000,3443000.000,3915000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,,,,,148000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,,,,959000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,,,2055000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,,,,,,,,,,617000.000
LongTermInvestments,3857000.000,9686000.000,11692000.000,11363000.000,4871000.000,384000.000,8541000.000,10554000.000,5779000.000,900000.000
LongTermNotesPayable,201000.000,,,794000.000,1889000.000,2142000.000,,1271000.000,1635000.000,1579000.000
MinimumLeasePaymentsSaleLeasebackTransactions,,,562000.000,,,,,,,
NotesPayable,1390000.000,1123000.000,1507000.000,2461000.000,4404000.000,5435000.000,,2603000.000,3389000.000,3779000.000
NotesPayableCurrent,,,-849000.000,1487000.000,2180000.000,2927000.000,,1332000.000,1754000.000,2200000.000
NotionalAmountOfForeignCurrencyDerivatives,2744000.000,4440000.000,5067000.000,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,8186000.000,7743000.000,7277000.000,7077000.000,8649000.000,8113000.000,7681000.000,6995000.000,6896000.000,10045000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,905000.000,456000.000,1436000.000,1236000.000,1246000.000,658000.000,2431000.000,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,1258000.000,1258000.000,1296000.000,1296000.000,1449000.000,1453000.000,540000.000,540000.000,540000.000,1372000.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,1222000.000,1222000.000,1258000.000,1258000.000,1564000.000,1570000.000,1454000.000,1453000.000,1447000.000,2245000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,1525000.000,1525000.000,1222000.000,1222000.000,1678000.000,1686000.000,1571000.000,1570000.000,1608000.000,2375000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,1440000.000,1446000.000,1525000.000,1525000.000,2172000.000,2206000.000,1685000.000,1685000.000,2013000.000,2645000.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,1836000.000,1836000.000,540000.000,540000.000,540000.000,540000.000,,,,694000.000
OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,1747000.000,1288000.000,714000.000
OtherAssetsNoncurrent,674000.000,868000.000,905000.000,933000.000,1089000.000,1006000.000,1316000.000,1248000.000,1255000.000,1245000.000
OtherLiabilitiesNoncurrent,456000.000,412000.000,508000.000,764000.000,1052000.000,1022000.000,2195000.000,2040000.000,1800000.000,1907000.000
OtherPrepaidExpenseCurrent,2161000.000,1186000.000,1103000.000,922000.000,1572000.000,1731000.000,3165000.000,2303000.000,1568000.000,1728000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,,0.000,0.000,,,,,0.000,0.000
PreferredStockSharesOutstanding,0.000,,,0.000,,,,,0.000,0.000
PreferredStockValue,,,,,,,,,0.000,
PrepaidExpenseAndOtherAssetsCurrent,3881000.000,2566000.000,2212000.000,2291000.000,3134000.000,3189000.000,4380000.000,3510000.000,8461000.000,4655000.000
PrepaidExpenseCurrent,3881000.000,2566000.000,2212000.000,2291000.000,3134000.000,3189000.000,,,,
PresentValueOfFutureMinimumLeasePaymentsSaleLeasebackTransactions,,,1411000.000,,,,,,,
PropertyPlantAndEquipmentGross,17730000.000,17950000.000,16864000.000,17156000.000,18447000.000,19230000.000,19755000.000,19972000.000,20994000.000,21287000.000
PropertyPlantAndEquipmentNet,2577000.000,2570000.000,2438000.000,2431000.000,3228000.000,3469000.000,3431000.000,3347000.000,3737000.000,3441000.000
RestrictedCashAndCashEquivalentsAtCarryingValue,,,,,,,,,5421000.000,1424000.000
RetainedEarningsAccumulatedDeficit,-338428000.000,-338510000.000,-341195000.000,-346589000.000,-352512000.000,-359894000.000,-366267000.000,-373585000.000,-382934000.000,-392001000.000
