,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,50386.000,,,,,
AdvertisingExpense,,283690.000,309076.000,386337.000,237608.000,202105.000
AllocatedShareBasedCompensationExpense,,0.000,0.000,0.000,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1466188.000,-72036.000,1013316.000,-298097.000,-319423.000,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,631356.000
ComprehensiveIncomeNetOfTax,-356397.000,-418369.000,849388.000,-286556.000,150718.000,925317.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,0.000,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-356397.000,,,,,
CostOfGoodsSold,2227891.000,1433348.000,964951.000,1280406.000,817391.000,1170544.000
DebtInstrumentPeriodicPaymentInterest,,5573.000,,5154.000,,
DeconsolidationGainOrLossAmount,1470776.000,,,,,
DepreciationAndAmortization,548662.000,314023.000,240025.000,254776.000,158463.000,154757.000
EarningsPerShareBasic,0.020,-0.050,0.030,0.010,0.010,0.040
EarningsPerShareDiluted,0.020,-0.050,0.030,0.010,0.010,0.040
EffectOfExchangeRateOnCashAndCashEquivalents,-33523.000,-67044.000,-344963.000,-78040.000,14708.000,-578684.000
EquityMethodInvestmentOtherThanTemporaryImpairment,0.000,,,,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,0.000,,,
FairValueAssumptionsExpectedDividendRate,,0.000,,,,
FairValueAssumptionsExpectedVolatilityRate,,1.120,,,,
FairValueAssumptionsRiskFreeInterestRate,,0.013,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,0.000,-1338042.000,106663.000,265397.000,338035.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,,349054.000,156620.000,0.000,0.000,0.000
GainOnSaleOfInvestments,2085669.000,,0.000,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,1247537.000
GeneralAndAdministrativeExpense,4686347.000,2154193.000,1364745.000,1158279.000,1284444.000,1447194.000
GrossProfit,7459401.000,1503928.000,1627645.000,2335949.000,1952701.000,1185162.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-169271.000,-97114.000,-121369.000,-136872.000,893927.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1613650.000,-981783.000,524508.000,164043.000,199727.000,823346.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,-812512.000,621622.000,285412.000,336599.000,-70581.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-981783.000,524508.000,164043.000,199727.000,823346.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1298561.000,-981936.000,524508.000,133478.000,,
IncomeLossFromEquityMethodInvestments,173337.000,199990.000,156620.000,106663.000,265397.000,338035.000
IncomeTaxExpenseBenefit,315069.000,153.000,0.000,30565.000,22938.000,-3564.000
IncomeTaxesPaid,0.000,0.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayable,-171692.000,-37363.000,-385808.000,239128.000,-48473.000,249416.000
IncreaseDecreaseInAccountsReceivable,-790249.000,109731.000,-160393.000,59566.000,130658.000,-34551.000
IncreaseDecreaseInAccruedLiabilities,-626896.000,200733.000,-286761.000,-115556.000,13109.000,93393.000
IncreaseDecreaseInDeferredRevenue,582004.000,91875.000,-24878.000,-36504.000,-14310.000,-1196.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,61836.000,-61836.000,145907.000,-145909.000,0.000,
IncreaseDecreaseInInterestPayableNet,42467.000,30001.000,0.000,,50001.000,0.000
IncreaseDecreaseInInventories,-228790.000,-85959.000,-392556.000,-185217.000,-3286.000,-300344.000
IncreaseDecreaseInOtherReceivables,,,,,,-1150000.000
IncreaseDecreaseInPrepaidExpense,804000.000,-552763.000,-437922.000,-32117.000,129089.000,-141411.000
InterestExpense,387292.000,186034.000,129985.000,75060.000,63443.000,36612.000
InterestIncomeExpenseNet,,,,,11323.000,83856.000
InterestPaid,252208.000,155908.000,62997.000,25060.000,13423.000,11544.000
InventoryWriteDown,25832.000,-67515.000,388778.000,-82570.000,,
InvestmentIncomeNet,,199990.000,,,,
LineOfCreditFacilityInterestRateDuringPeriod,,,0.036,0.036,0.036,
NetCashProvidedByUsedInFinancingActivities,2524412.000,-213302.000,1198618.000,-358136.000,0.000,-1000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2524412.000,-213302.000,1198618.000,-358136.000,0.000,-1000000.000
