,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
EarningsPerShareBasic,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,0.350
GeneralAndAdministrativeExpense,-7480.000,-3344.000,,,,,,10174.000,10109.000,,6823.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,-10371.000,,,,
IncreaseDecreaseInAccruedLiabilities,,,14115.000,,,,,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,,8040.000,,,,22034.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,8040.000,,,,22034.000,,,,6823.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,8040.000,,,,22034.000,,,,6823.000
NetCashProvidedByUsedInOperatingActivities,,,-8040.000,,,,-22034.000,,,,-6823.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-8040.000,,,,-22034.000,,,,-6823.000
NetIncomeLoss,-9680.000,-5544.000,-22155.000,-11257.000,-11629.000,-30745.000,-11663.000,-10174.000,-10109.000,-8397.000,-6823.000
OperatingExpenses,-9680.000,-5544.000,22155.000,11257.000,11629.000,30745.000,11663.000,10174.000,10109.000,8397.000,6823.000
ProceedsFromRelatedPartyDebt,,,,,,,,,,,6823.000
ProfessionalFees,-2200.000,-2200.000,22155.000,11257.000,11629.000,30745.000,11663.000,,,,
ProfitLoss,,,,,,,,,,,-6823.000
Revenues,0.000,0.000,,,,,,,,,
SalesRevenueNet,0.000,0.000,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,885565210.000,69819980.000,69819980.000,69819980.000,69819980.000,-139639960.000,69819980.000,69819980.000,69819980.000,-139639960.000,69819980.000
