,2016-09-30,2017-03-31
AdministrativeFeesExpense,,10000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-252580.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010
GeneralAndAdministrativeExpense,156413.000,442492.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,39805.000
IncreaseDecreaseInAccountsPayableRelatedParties,,116582.000
IncreaseDecreaseInPrepaidExpense,,-53125.000
InterestIncomeExpenseNet,93223.000,352070.000
NetCashProvidedByUsedInInvestingActivities,,-352070.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-352070.000
NetCashProvidedByUsedInOperatingActivities,,99490.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,99490.000
NetIncomeLoss,-63190.000,-90422.000
OperatingIncomeLoss,-156413.000,-442492.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,11461832.000,11844120.000
