,2011-06-30,2011-09-30
AccountsPayableCurrent,3892759.000,5542983.000
AccountsReceivableNetCurrent,5307327.000,6418019.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,456813.000,726470.000
AdditionalPaidInCapital,6404691.000,7476904.000
Assets,29409546.000,31037855.000
AssetsCurrent,22857255.000,24782487.000
AssetsNoncurrent,6552291.000,6255368.000
CashAndCashEquivalentsAtCarryingValue,4016393.000,3000159.000
CommonStockParOrStatedValuePerShare,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000
CommonStockSharesIssued,22070633.000,22357494.000
CommonStockSharesOutstanding,22070633.000,22357494.000
CommonStockValue,8475.000,8585.000
ConstructionInProgressGross,48741.000,
DeferredTaxAssetsNetNoncurrent,8153.000,7842.000
DepositsAssetsCurrent,15704.000,16307.000
DepositsAssetsNoncurrent,658811.000,
DerivativeLiabilitiesCurrent,401506.000,226798.000
DueToEmployeesCurrent,95803.000,
DueToOfficersOrStockholdersCurrent,9790.000,
IntangibleAssetsNetExcludingGoodwill,4879.000,8637.000
InventoryNet,6492201.000,8810526.000
Liabilities,15305297.000,15659722.000
LiabilitiesAndStockholdersEquity,29409546.000,31037855.000
LiabilitiesCurrent,15116008.000,15466957.000
MinorityInterest,,23604.000
NotesAndLoansReceivableNetCurrent,3904039.000,2771091.000
OtherAssetsNoncurrent,,49636.000
OtherLongTermDebtNoncurrent,189289.000,192765.000
OtherReceivablesNetCurrent,229160.000,551022.000
PreferredStockParOrStatedValuePerShare,0.000,0.000
PreferredStockSharesAuthorized,781250.000,781250.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PrepaidExpenseCurrent,2087065.000,2971559.000
PrepaidExpenseNoncurrent,1561828.000,1714636.000
PropertyPlantAndEquipmentNet,4269879.000,4474617.000
RetainedEarningsAppropriated,828102.000,880847.000
RetainedEarningsUnappropriated,6406168.000,6261723.000
SecuredDebtCurrent,805366.000,243804.000
ShortTermBorrowings,5222818.000,4512823.000
StockholdersEquity,14104249.000,15354529.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,14104249.000,15378133.000
TaxesPayableCurrent,3610625.000,3946843.000
UnsecuredDebtCurrent,413020.000,413020.000
