,2012-03-31,2012-09-30,2012-12-31
AdditionalPaidInCapital,1500.000,1500.000,1700.000
AssetsCurrent,200.000,200.000,32.000
Cash,200.000,200.000,32.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,5000000.000,5000000.000,5000000.000
CommonStockSharesOutstanding,5000000.000,5000000.000,5000000.000
CommonStockValue,500.000,500.000,2635.000
DebtInstrumentFaceAmount,,2400.000,2400.000
DeferredTaxAssetsGross,,4200.000,10798.000
DeferredTaxAssetsOperatingLossCarryforwards,,4200.000,10798.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,1800.000,4200.000,10798.000
DueToRelatedPartiesCurrent,,2400.000,6495.000
LiabilitiesAndStockholdersEquity,,200.000,32.000
LiabilitiesCurrent,,2400.000,6495.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,
PreferredStockSharesAuthorized,10000000.000,10000000.000,
PreferredStockSharesIssued,0.000,0.000,
PreferredStockSharesOutstanding,0.000,0.000,
StockholdersEquity,200.000,-2200.000,-6463.000
ValuationAllowanceAmount,,-4200.000,-10798.000
