,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-285000.000,,,,-100000.000,,,,0.000,,,,-100000.000,,,,-100000.000,,,,
AcquisitionCosts,,,,100000.000,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,4100000.000,4800000.000,4900000.000,4600000.000,5000000.000,6400000.000,6600000.000,6600000.000,8700000.000,13200000.000,13800000.000,14300000.000,,,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,,,100000.000,,,,100000.000,,,,0.000,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,10902000.000,10734000.000,10514000.000,-21750000.000,11000000.000,10600000.000,10300000.000,-22500000.000,9500000.000,9100000.000,8100000.000,-19400000.000,7100000.000,6500000.000,5800000.000,-14000000.000,5100000.000,4900000.000,4500000.000,-10100000.000,3600000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,0.000,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,0.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,2566000.000,,,,10800000.000,,,,2500000.000,,,,-17600000.000,,,,-8200000.000,,,,59000000.000
ComprehensiveIncomeNetOfTax,,,-14087000.000,-14676000.000,-17268000.000,-8469000.000,-11100000.000,-10100000.000,-6000000.000,-2600000.000,-12500000.000,-6000000.000,-5100000.000,1200000.000,-13100000.000,-3700000.000,-42500000.000,1500000.000,-19200000.000,-20600000.000,-18800000.000,-7700000.000,-42000000.000
CostOfGoodsSold,8351000.000,9230000.000,9587000.000,10889000.000,13391000.000,14433000.000,12400000.000,13700000.000,14800000.000,17200000.000,16900000.000,18700000.000,21800000.000,24900000.000,26300000.000,27200000.000,30500000.000,39600000.000,41100000.000,51800000.000,47500000.000,54500000.000,48200000.000
CostOfRevenue,9546000.000,10090000.000,10708000.000,12207000.000,14687000.000,15698000.000,13100000.000,13900000.000,15300000.000,17600000.000,17300000.000,18900000.000,21800000.000,24900000.000,26300000.000,27200000.000,30500000.000,39600000.000,,,,,
DepreciationDepletionAndAmortization,,,1182000.000,,,,1800000.000,,,,1900000.000,,,,2400000.000,,,,3400000.000,,,,3700000.000
EarningsPerShareBasicAndDiluted,-0.110,-0.200,-0.210,-0.210,-0.250,-0.120,-0.160,-0.140,-0.080,-0.040,-0.170,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,-21000.000,,,,0.000,,,,,,,,,,,,,,,,-200000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,608000.000,278000.000,,300000.000,700000.000,1000000.000,500000.000,1200000.000,-1000000.000,-900000.000,500000.000,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchases,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,,,,1148000.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,
GainLossOnDispositionOfAssets,,,,,,,,,,,,,,,-200000.000,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
GrossProfit,11871000.000,8164000.000,9387000.000,11243000.000,8402000.000,17568000.000,16500000.000,21900000.000,27600000.000,34100000.000,29800000.000,39900000.000,47200000.000,59400000.000,46500000.000,66000000.000,74700000.000,91200000.000,75100000.000,85500000.000,101100000.000,116700000.000,94100000.000
