,2017-04-30
AccountsPayableAndAccruedLiabilitiesCurrent,125900.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,4000.000
AdditionalPaidInCapital,0.000
Assets,32016.000
AssetsCurrent,5843.000
Capital,-163428.000
CapitalizedComputerSoftwareNet,4000.000
CashAndCashEquivalentsAtCarryingValue,2016.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,100000000.000
CommonStockSharesIssued,15000000.000
CommonStockSharesOutstanding,15000000.000
CommonStockValue,15000.000
DebtCurrent,43371.000
DebtInstrumentCarryingAmount,43371.000
DebtInstrumentInterestRateStatedPercentage,0.000
DeferredTaxAssetsGross,53289.000
DeferredTaxAssetsLiabilitiesNet,0.000
DeferredTaxAssetsValuationAllowance,53289.000
IntangibleAssetsNetExcludingGoodwill,0.000
Liabilities,169271.000
LiabilitiesAndStockholdersEquity,32016.000
OperatingLossCarryforwards,53289.000
OtherAssetsNoncurrent,26173.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,25000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PreferredStockValue,0.000
PrepaidExpenseCurrentAndNoncurrent,3827.000
PropertyPlantAndEquipmentNet,0.000
RetainedEarningsAccumulatedDeficit,-152255.000
StockholdersEquity,-137255.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-137255.000
