,2011-09-30,2012-03-31,2012-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-97.000,
AdvertisingExpense,1722.000,1771.000,957.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,300.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,-5367.000,4207.000
BankOwnedLifeInsuranceIncome,,25084.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,1433438.000,
ComprehensiveIncomeNetOfTax,,16270.000,-70968.000
DepreciationNonproduction,,49581.000,
DilutiveSecurities,,,0.000
DividendsPreferredStock,3106.000,,-3705.000
EarningsPerShareBasic,-0.040,0.010,-0.030
EarningsPerShareDiluted,-0.040,0.010,-0.030
FederalDepositInsuranceCorporationPremiumExpense,64018.000,80054.000,73270.000
FeesAndCommissionsDepositorAccounts,78158.000,67574.000,70955.000
FeesAndCommissionsMortgageBanking,0.000,0.000,0.000
ForeclosedRealEstateExpense,86781.000,86106.000,95641.000
ImpairmentOfRealEstate,,37692.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-82991.000,21637.000,-75175.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000
IncreaseDecreaseInAccruedInterestReceivableNet,,19780.000,
IncreaseDecreaseInInterestPayableNet,,16453.000,
IncreaseDecreaseInOtherDeposits,,1623674.000,
IncreaseDecreaseInOtherOperatingAssets,,-30157.000,
IncreaseDecreaseInOtherOperatingLiabilities,,-150731.000,
IncreaseDecreaseInTimeDeposits,,-2909870.000,
InformationTechnologyAndDataProcessing,73422.000,82752.000,74286.000
InterestAndDividendIncomeOperating,1090288.000,983669.000,887685.000
InterestAndDividendIncomeSecuritiesAvailableForSale,14919.000,13185.000,12030.000
InterestAndFeeIncomeLoansAndLeases,1056755.000,954786.000,864257.000
InterestExpense,275952.000,219185.000,180944.000
InterestExpenseBorrowings,17045.000,16240.000,16415.000
InterestExpenseDeposits,258907.000,202945.000,164529.000
InterestIncomeExpenseAfterProvisionForLoanLoss,804921.000,764484.000,706741.000
InterestIncomeExpenseNet,814336.000,764484.000,706741.000
InterestPaid,,202732.000,
LaborAndRelatedExpense,399316.000,371484.000,326590.000
NetCashProvidedByUsedInFinancingActivities,,-1261196.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-1261196.000,
NetCashProvidedByUsedInInvestingActivities,,2871452.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,2871452.000,
NetCashProvidedByUsedInOperatingActivities,,-176818.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-176818.000,
NetIncomeLoss,-82991.000,21637.000,-75175.000
NetIncomeLossAvailableToCommonStockholdersBasic,-89739.000,14764.000,-82522.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,-82522.000
NoninterestExpense,991995.000,964656.000,877672.000
NoninterestIncome,104083.000,221809.000,95756.000
NoninterestIncomeOtherOperatingIncome,25925.000,154235.000,24801.000
OccupancyNet,135506.000,135296.000,90716.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,3330.000,
OtherNoninterestExpense,136299.000,124956.000,107015.000
PaymentsToAcquireAvailableForSaleSecurities,,997517.000,
PaymentsToAcquirePropertyPlantAndEquipment,,15150.000,
PreferredStockAccretionOfRedemptionDiscount,3642.000,3643.000,
PreferredStockDividendsIncomeStatementImpact,,3230.000,-3642.000
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,25000.000,
ProceedsFromLoanAndLeaseOriginationsAndPrincipalCollections,,-903968.000,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,1023205.000,
ProceedsFromSaleOfForeclosedAssets,,307301.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,1649645.000,
ProvisionForLoanLossesExpensed,9415.000,0.000,0.000
StockIssuedDuringPeriodValueNewIssues,,25000.000,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,0.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,2389391.000
WeightedAverageNumberOfSharesOutstandingBasic,,,2389391.000
