,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionOfDiscount,,,12200.000,,,,536816.000,,,,,,,,
AllowanceForLoanAndLeaseLossesAdjustmentsNet,-6476000.000,,,,,,-87566.000,-340477.000,-44316.000,1499268.000,-111075.000,-274920.000,38966.000,-937867.000,-38036.000
AllowanceForLoanAndLeaseLossesWriteOffs,-11856697.000,,,,,,,0.000,0.000,,,-447520.000,,,-107999.000
AmortizationOfFinancingCostsAndDiscounts,,,,,,,79419.000,,,,107022.000,,,,45902.000
AncillaryFeeIncomeGeneratedByServicingFinancialAssetsAmount,,,1000.000,1000.000,1000.000,1000.000,2000.000,2000.000,2000.000,1000.000,4000.000,4000.000,5000.000,7000.000,4000.000
CapitalExpendituresIncurredButNotYetPaid,,,1123758.000,,,,2588677.000,,,,3503363.000,,,,1197794.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-6735779.000,,,,12490699.000,,,,1972247.000,,,,167491.000
CommonStockDividendsPerShareDeclared,0.150,0.050,0.050,0.050,0.050,0.120,0.070,0.180,0.080,0.080,0.080,0.080,0.080,0.080,0.080
CostOfRealEstateRevenue,2125036.000,2071900.000,1915115.000,1977330.000,2061330.000,2207659.000,2190412.000,2159533.000,2070680.000,2089485.000,1790379.000,2048929.000,2045722.000,1160818.000,1203319.000
CostsAndExpenses,-2526996.000,3223871.000,3597568.000,3569826.000,3950850.000,4005739.000,5453674.000,4463246.000,3998225.000,2817184.000,4316678.000,6999063.000,5587213.000,3942004.000,3355582.000
DebtInstrumentPeriodicPayment,,,56816.000,,,,,,,,,,,,
DeferredFederalIncomeTaxExpenseBenefit,,,,,,,,,,,,,193509.000,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,-260848.000,,-10036.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,,,,,,,,,,-454357.000,,
Depreciation,980000.000,517000.000,519000.000,521000.000,523000.000,588000.000,580000.000,562000.000,505000.000,324000.000,327000.000,291000.000,286000.000,282000.000,296000.000
DepreciationAndAmortization,1004338.000,539532.000,546097.000,547635.000,549189.000,612656.000,602386.000,583572.000,526178.000,340045.000,343649.000,309271.000,305105.000,300280.000,309960.000
DepreciationDepletionAndAmortization,,,546097.000,,,,602386.000,,,,343649.000,,,,309960.000
Dividends,,,537733.000,,,,753760.000,,,,819798.000,,,,819798.000
EarningsPerShareBasicAndDiluted,0.570,0.060,0.070,0.260,0.070,0.340,0.110,1.280,0.040,0.790,0.460,0.500,1.540,-0.120,0.020
FederalIncomeTaxExpenseBenefitContinuingOperations,,,,,,,,,,,,,193509.000,,
FinancingReceivableModificationsNumberOfContracts2,,,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FinancingReceivableModificationsSubsequentDefaultNumberOfContracts1,,,,,,,,,,,,,,,0.000
GainLossOnDispositionOfAssets1,,,277184.000,2349808.000,113113.000,,,,,,,,,,
GainLossOnSaleOfProperties,2429872.000,251887.000,276000.000,2350000.000,,,205441.000,14825858.000,,,4838815.000,,20195367.000,,-181.000
GainsLossesOnSalesOfInvestmentRealEstate,,216000.000,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,424757.000,496088.000,415743.000,389464.000,285669.000,570334.000,378971.000,280078.000,292531.000,327414.000,553417.000,349927.000,338696.000,326850.000,483814.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,,,,,,9337311.000,9865515.000,,9361986.000,9127508.000,8290283.000,-17784033.000,4899697.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,,,,,74023.000,68180.000,,5247.000,5183.000,24210.000,24145.000,4982.000
