,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30
AdjustmentsToAdditionalPaidInCapitalStockIssuedOwnshareLendingArrangementIssuanceCosts,,,,,,,10800.000,,
AdvertisingRevenueCost,,,,,,,18035.000,,
AllocatedShareBasedCompensationExpense,,,,,,,2077045.000,565014.000,73097.000
AmortizationOfCapitalizedValueOfBusinessAcquiredAsset,,,,,,,3934.000,,
AmortizationOfDebtDiscountPremium,,,,,,,797.000,,
AmortizationOfFinancingCosts,,,,,,,5155.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-3770.000,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,8249655.000,,
ConversionOfStockSharesIssued1,,,,,,,,,21000.000
CostOfGoodsAndServicesSold,,,,,55944.000,90812.000,74769.000,151605.000,13750.000
CostOfServices,,,,,,,124209.000,40000.000,352890.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,,,,1877659.000,283430.000,172493.000
Depreciation,,,,,,,592.000,1121.000,874.000
DepreciationAndAmortization,,,,,4774.000,4905.000,4647.000,,
EarningsPerShareBasic,,,,,,-0.040,-0.130,-0.040,-0.060
EarningsPerShareBasicAndDiluted,,,,,-0.010,,,,
GeneralAndAdministrativeExpense,63.000,77.000,71.000,64.000,250211.000,306248.000,83916.000,135574.000,253064.000
GrossProfit,,,,,44411.000,79086.000,72232.000,132035.000,267502.000
IncomeLossFromContinuingOperations,,,,,-487296.000,-654586.000,,,
IncreaseDecreaseInAccountsPayable,,,,,,,121392.000,,
IncreaseDecreaseInAccountsReceivable,,,,,,,-37030.000,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,3059.000,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,,,,,86111.000,,
IncreaseDecreaseInInterestPayableNet,,,,,,,14348.000,23056.000,23056.000
IncreaseDecreaseInInventories,,,,,,,37781.000,,
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,29146.000,,
IncreaseDecreaseInPrepaidExpense,-33.000,,,,,,61583.000,,
IncreaseDecreaseInRestrictedCash,,,,,,,18804.000,,
InterestExpenseRelatedParty,,,,,-52431.000,53693.000,27913.000,23056.000,18191.000
InterestIncomeExpenseNet,,,,,,10.000,-25430.000,-35898.000,-213521.000
InterestPaid,,,,,,,2569.000,,
LaborAndRelatedExpense,,,,,88822.000,328569.000,,,
LicensesRevenue,,,,,,,,,250000.000
MarketingExpense,,,,,,,17800.000,20544.000,4737.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,189500.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,189500.000,,
NetCashProvidedByUsedInOperatingActivities,-3770.000,,,,,,-208304.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-3770.000,,,,,,-208304.000,,
NetIncomeLoss,-3803.000,-3850.000,-2016.000,-4189.000,-539727.000,-708269.000,-2409404.000,-800658.000,-1014082.000
NotesIssued1,,,,,26500.000,,,,
OfficersCompensation,,,,,187900.000,93950.000,,,
OperatingExpenses,3803.000,3850.000,2016.000,4189.000,531707.000,733672.000,2428293.000,873739.000,720956.000
OperatingIncomeLoss,,,,,,,-2356061.000,-741704.000,-453454.000
OtherExpenses,,,,,52431.000,53683.000,,,
OtherNonoperatingIncomeExpense,,,,,,,-53343.000,-58954.000,-560628.000
PaymentsOfFinancingCosts,,,,,,,,,-45850.000
ProceedsFromConvertibleDebt,,,,,,,4000.000,,
ProceedsFromIssuanceOfCommonStock,,,6722.000,,,,10500.000,,
ProceedsFromLinesOfCredit,,,,,,,25000.000,,
ProceedsFromNotesPayable,,,,,,,150000.000,,
ProfessionalFees,3740.000,3773.000,1945.000,4125.000,,,43133.000,76395.000,24571.000
Revenues,,,,,100355.000,169898.000,147001.000,283640.000,281252.000
SalariesWagesAndOfficersCompensation,,,,,,,60000.000,60000.000,60000.000
SalesRevenueNet,,,,,100355.000,169898.000,147001.000,283640.000,31252.000
SellingExpense,,,,,,,82190.000,36212.000,12597.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfAdditionalSharesAuthorized,,,,,,,,355000.000,277738.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,,,,,2.000,,,,
ShareBasedGoodsAndNonemployeeServicesTransactionCapitalizedCost,,,,,,,1877659.000,,
StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,,,,,,,67192.000,,
StockIssued,,,204057.000,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,,,,90000.000,,,
StockIssuedDuringPeriodSharesNewIssues,,,,,,,,,61000.000
StockIssuedDuringPeriodSharesOther,,,,,,50000.000,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,,,,,21000.000
StockIssuedDuringPeriodValueIssuedForServices,,,,,,148250.000,,,
StockIssuedDuringPeriodValueNewIssues,,,,,,,,,56650.000
StockIssuedDuringPeriodValueOther,,,,,,100000.000,,,
UnrealizedGainLossOnDerivatives,,,,,,,,,-283066.000
WeightedAverageNumberOfDilutedSharesOutstanding,1300000.000,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,1300000.000,1377630.000,,14257528.000,,,,
WeightedAverageNumberOfSharesOutstandingBasic,1300000.000,,,,,16209827.000,17922775.000,17981613.000,17922775.000
