,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,10416000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1357037.000,-3296715.000,-1745738.000,-2631000.000,-746000.000
AdditionalPaidInCapital,1498742.000,1623211.000,1742083.000,1209000.000,1074000.000
AdvancesFromFederalHomeLoanBanks,99300000.000,105300000.000,85300000.000,68000000.000,105500000.000
Assets,1036958564.000,1075977924.000,1108211093.000,1165454000.000,1205204000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,1107000.000,2799000.000,1354000.000,2774000.000,456000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,217054000.000,214886000.000,209642000.000,210921000.000,161432000.000
AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedGainBeforeTax,2171000.000,1009000.000,1723000.000,1427000.000,2239000.000
AvailableForSaleSecurities,218118191.000,213095723.000,210010981.000,209574000.000,163215000.000
AvailableForSaleSecuritiesAmortizedCost,217054000.000,214886000.000,209642000.000,210921000.000,161432000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,1025000.000,,,1758000.000,444000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,1107000.000,2817000.000,1400000.000,2774000.000,456000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,87792000.000,,,128029000.000,47466000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,82000.000,,,1016000.000,12000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,15262000.000,,,66896000.000,4593000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,72530000.000,,,61133000.000,42873000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,17506000.000,38715000.000,43161000.000,46337000.000,26506000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,17816000.000,38689000.000,43672000.000,46664000.000,27078000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,31805000.000,31865000.000,26487000.000,23682000.000,17083000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,31977000.000,31892000.000,26679000.000,23686000.000,17345000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,9090000.000,24472000.000,27404000.000,27653000.000,26694000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,9329000.000,23947000.000,27365000.000,27639000.000,27371000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,4958000.000,4890000.000,3350000.000,3156000.000,1829000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,4987000.000,4909000.000,3365000.000,3160000.000,1833000.000
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost,153695000.000,114944000.000,109240000.000,110093000.000,89320000.000
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,154009000.000,113659000.000,108930000.000,108425000.000,89588000.000
AvailableForSaleSecuritiesDebtSecurities,218118000.000,,,,
AvailableForSaleSecuritiesPledgedAsCollateral,26000000.000,26600000.000,25700000.000,24500000.000,25800000.000
CapitalLeaseObligations,,,,3926000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,6168000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,417000.000,
