,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,,,108047000.000,,,,213120000.000,,,,244963000.000,
AccountsPayableCurrent,1231000.000,35121000.000,35897000.000,19411000.000,15769000.000,15142000.000,15112000.000,14709000.000,14692000.000,5397000.000,6239000.000,35475000.000,30938000.000,48182000.000,,156147000.000,180696000.000,188918000.000,153085000.000,228122000.000,242033000.000,239173000.000,173306000.000,247224000.000
AccountsPayableOtherCurrent,,,,,,,,,,,,,,,,,,,,836000.000,982000.000,1467000.000,,0.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,396000.000,9590000.000,9783000.000,10364000.000,10373000.000,841000.000,292000.000,27047000.000,15520000.000,8900000.000,9400000.000,,,,30100000.000,,,,29500000.000,
AccountsPayableRelatedPartiesNoncurrent,,,,,,,,0.900,,,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,28229000.000,12639000.000,22099000.000,11414000.000,11414000.000,6043000.000,6103000.000,6451000.000,5395000.000,8715000.000,1112000.000,4154000.000,144000.000,1122000.000,,,,,,,,,,
AccountsReceivableRelatedParties,,,,,,,,,520000.000,8556000.000,1026000.000,4154000.000,,,624000.000,624000.000,624000.000,624000.000,1186000.000,1635000.000,1732000.000,1844000.000,1956000.000,2354000.000
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,624000.000,624000.000,624000.000,624000.000,1186000.000,1635000.000,1732000.000,1844000.000,1956000.000,2354000.000
AccruedIncomeTaxesCurrent,,27000.000,,,,,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,34034000.000,11868000.000,6922000.000,9616000.000,9355000.000,4107000.000,2770000.000,4418000.000,5839000.000,6379000.000,7446000.000,10999000.000,20325000.000,34076000.000,,,,,,,,,,
AccruedProfessionalFeesCurrent,,,,,638000.000,858000.000,565000.000,1653000.000,2568000.000,2338000.000,,,,,,,,,,,,,,
AccruedRoyaltiesCurrent,,,,,5741000.000,0.000,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,597000.000,478000.000,533000.000,-594000.000,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,,,,224000.000,,,,,,,,,,,,,
