,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AmortizationOfFinancingCosts,27275.000,27275.000,27275.000,18364.000,45108.000,58230.000,58230.000,57448.000,30955.000,30955.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1767.000,,,,1018279.000,,,,-7572.000,
ComprehensiveIncomeNetOfTax,-259755.000,-615696.000,-2343698.000,-913839.000,-1167563.000,-1023678.000,-1043667.000,-1159345.000,-604412.000,-686481.000
CostOfRevenue,341242.000,258351.000,347275.000,549999.000,378361.000,258183.000,460034.000,448489.000,325779.000,205434.000
DepreciationAndAmortization,115612.000,,,,108754.000,,,,149582.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,-26915.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,0.000,0.000,0.000,,,
DerivativeInstrumentsGainRecognizedInIncome,433477.000,341675.000,-1743811.000,226847.000,0.000,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,-0.100,,-0.070,-0.060
EarningsPerShareDiluted,-0.030,-0.040,-0.250,-0.090,-0.120,-0.100,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,76293.000,,,,18333.000,,,,-42352.000,
GeneralAndAdministrativeExpense,318659.000,361368.000,248584.000,465537.000,497657.000,393318.000,372740.000,556460.000,284026.000,185997.000
GrossProfit,-278033.000,-187622.000,-187321.000,-410337.000,-343532.000,-258183.000,-409700.000,-272563.000,-275453.000,-205434.000
ImpairmentOfLongLivedAssetsHeldForUse,701.000,0.000,0.000,-321.000,3528.000,1592.000,3133.000,3883.000,2922.000,0.000
IncomeTaxesPaid,0.000,,,,0.000,,,,0.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,105148.000,,,,-206339.000,,,,180408.000,
IncreaseDecreaseInDepositOtherAssets,157711.000,,,,-20924.000,,,,3232.000,
IncreaseDecreaseInDerivativeLiabilities,0.000,,,,,,,,,
IncreaseDecreaseInInventories,48266.000,,,,6273.000,,,,-54274.000,
IncreaseDecreaseInRestrictedCash,,,,,344850.000,,,,-150190.000,
InterestExpenseRelatedParty,80847.000,80518.000,73818.000,77565.000,106405.000,124318.000,126099.000,177276.000,65480.000,145128.000
InterestPaid,0.000,,,,0.000,,,,86212.000,
NetCashProvidedByUsedInFinancingActivities,634484.000,,,,2539480.000,,,,240804.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,634484.000,,,,2539480.000,,,,240804.000,
NetCashProvidedByUsedInInvestingActivities,-16277.000,,,,-361923.000,,,,147268.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-16277.000,,,,-361923.000,,,,147268.000,
NetCashProvidedByUsedInOperatingActivities,-692733.000,,,,-1177611.000,,,,-353292.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-692733.000,,,,-1177611.000,,,,-353292.000,
NetIncomeLoss,-326606.000,-349858.000,-2328573.000,-942091.000,-1216924.000,-979000.000,-1056754.000,-1132632.000,-808946.000,-665272.000
OperatingExpenses,373928.000,396118.000,296348.000,662672.000,721879.000,538269.000,462725.000,625345.000,437058.000,256840.000
OperatingIncomeLoss,-651961.000,-583740.000,-483669.000,-1073009.000,-1065411.000,-796452.000,-872425.000,-897908.000,-712511.000,-462274.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,66851.000,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,66851.000,-265838.000,-15125.000,28252.000,49361.000,-44678.000,13087.000,-26713.000,204534.000,-21209.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,49361.000,,,,204534.000,
PaymentsOfDebtIssuanceCosts,-27275.000,,,,-45108.000,,,,-30955.000,
PaymentsToAcquireMineralRights,701.000,,,,3528.000,,,,2922.000,
PaymentsToAcquirePropertyPlantAndEquipment,15576.000,,,,13545.000,,,,0.000,
ProceedsFromIssuanceOfPrivatePlacement,0.000,,,,,,,,,
ProceedsFromIssuanceOfSecuredDebt,,,,,2520606.000,,,,0.000,
ProceedsFromLoans,500000.000,,,,-145596.000,,,,,
ProceedsFromRepaymentsOfDebt,,,,,,,,,109723.000,
ProceedsFromRepaymentsOfNotesPayable,0.000,,,,0.000,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,-1687.000,,,,93851.000,,,,5128.000,
ProfessionalFees,13884.000,0.000,26988.000,133434.000,198000.000,76200.000,15000.000,0.000,91800.000,16760.000
RepaymentsOfDebtAndCapitalLeaseObligations,75404.000,,,,105248.000,,,,-68116.000,
Revenues,63209.000,70729.000,159954.000,139662.000,34829.000,0.000,50334.000,175926.000,50326.000,0.000
SalariesAndWages,40684.000,34750.000,20776.000,64022.000,22694.000,67159.000,71852.000,65002.000,58310.000,54083.000
SalesRevenueNet,63209.000,70729.000,159954.000,139662.000,34829.000,0.000,50334.000,175926.000,50326.000,0.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,1143154.000,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,9364593.000,9364593.000,9364593.000,-18578270.000,10089414.000,10348596.000,10925839.000,-20736365.000,11151634.000,11151634.000
