,2016-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,817800.000
AccountsPayableAndAccruedLiabilitiesNoncurrent,69445.000
AccountsReceivableNetCurrent,588028.000
AccruedInsuranceCurrent,150725.000
AccruedPayrollTaxesCurrent,107987.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,26829.000
AdditionalPaidInCapital,1973736.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000
Assets,1134750.000
AssetsCurrent,1104525.000
Cash,507591.000
CommonStockParOrStatedValuePerShare,0.000
CommonStockSharesAuthorized,100000000.000
CommonStockSharesIssued,50000000.000
CommonStockSharesOutstanding,50000000.000
CommonStockValue,500.000
DerivativeFixedInterestRate,0.040
DueToRelatedPartiesCurrent,123420.000
DueToRelatedPartiesCurrentAndNoncurrent,0.000
EmployeeRelatedLiabilitiesCurrent,159944.000
IntangibleAssetsNetExcludingGoodwill,2250.000
Liabilities,1220563.000
LiabilitiesAndStockholdersEquity,1134750.000
LiabilitiesCurrent,1073952.000
LiabilitiesNoncurrent,146611.000
LiabilityForUncertainTaxPositionsCurrent,185153.000
LinesOfCreditCurrent,132732.000
LoansPayable,123420.000
LoansPayableCurrent,9990.000
OperatingLeasesFutureMinimumPaymentsDue,228373.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,59135.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,10936.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,47478.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,48706.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,61489.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,630.000
OtherAccruedLiabilitiesCurrent,120279.000
OtherAccruedLiabilitiesNoncurrent,69445.000
OtherLiabilitiesNoncurrent,77166.000
PreferredStockParOrStatedValuePerShare,0.000
PreferredStockSharesAuthorized,10000000.000
PrepaidExpenseAndOtherAssetsCurrent,8906.000
PropertyPlantAndEquipmentGross,54804.000
PropertyPlantAndEquipmentNet,27975.000
RetainedEarningsAccumulatedDeficit,-2060049.000
SharesIssuedPricePerShare,1.000
StockholdersEquity,-85813.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-85813.000
