,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-04-30,2017-04-30
AdjustmentsToAdditionalPaidInCapitalOther,-1750.000,,,,,,,,,,
BenefitsLossesAndExpenses,,,,,2000.000,,,,,,
CostsAndExpenses,250.000,500.000,550.000,2000.000,1000.000,1818.000,1796.000,,,,
EarningsPerShareBasic,,,,,,,,,-0.000,0.000,0.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,,,,
GeneralAndAdministrativeExpense,,,,,,568.000,546.000,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2000.000,,,,,,,,,,
NetIncomeLoss,-250.000,-500.000,-550.000,-2000.000,-1000.000,,-1796.000,,-21690.000,-13680.000,-5075.000
OperatingCostsAndExpenses,,,,,,,,,410.000,14.000,60.000
OperatingExpenses,,,,,,,,,21690.000,13680.000,5075.000
ProfessionalFees,250.000,500.000,550.000,2000.000,1000.000,1250.000,1250.000,,21280.000,13666.000,5015.000
WeightedAverageNumberOfSharesOutstandingBasic,5000000.000,20000000.000,20000000.000,-25000000.000,20000000.000,20000000.000,20000000.000,-32616438.000,75000000.000,75000000.000,75000000.000
