,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AssetImpairmentCharges,,,,,,,,,0.000,,,0.000,0.000,,,,,,,
AssetRetirementObligationAccretionExpense,39600.000,39500.000,37100.000,37100.000,37100.000,37000.000,40400.000,40400.000,40400.000,40400.000,42300.000,42300.000,42300.000,42200.000,58700.000,58700.000,58700.000,58800.000,36100.000,36100.000
AssetRetirementObligationCashPaidToSettle,,,,,,,,,,,,,,,,,,,100.000,
AssetRetirementObligationLiabilitiesSettled,,,,,,,,,,,,100.000,,,,,,,,
AssetRetirementObligationPeriodIncreaseDecrease,,,,0.000,0.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-11900.000,,,,20800.000,,,,-43500.000,,,,,,,,,
CashPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,0.000,
ComprehensiveIncomeNetOfTax,,,-93200.000,-146200.000,-116300.000,-322800.000,-65000.000,4700.000,-5400.000,81600.000,106100.000,128400.000,-97200.000,-447900.000,-165900.000,-203000.000,-1815500.000,-138500.000,-106800.000,-131900.000
CostsAndExpenses,,,449000.000,393500.000,408400.000,668100.000,459500.000,455000.000,465700.000,321100.000,324800.000,366700.000,317800.000,760200.000,393300.000,337000.000,1927800.000,257600.000,187600.000,245100.000
DepletionOfOilAndGasProperties,192500.000,170500.000,101100.000,93200.000,87300.000,158300.000,115900.000,112600.000,123100.000,13900.000,11800.000,13800.000,13900.000,94200.000,71700.000,64500.000,51600.000,0.000,0.000,0.000
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,4200.000,-3900.000,10300.000,10700.000,3000.000,-4600.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,,,,,,,3900.000,3700.000,-2900.000,-900.000,400.000,500.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,,236200.000,,,,56400.000,,,,,,,,,,,,,
GainLossOnFairValueHedgeIneffectivenessNet,,,,,,,7700.000,0.000,0.000,-7700.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000
