,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,5725000.000,14016000.000,5551000.000,1342000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,14457000.000,47018000.000,119468000.000,185712000.000
AdvertisingExpense,4900000.000,7600000.000,11300000.000,21700000.000
AllocatedShareBasedCompensationExpense,14457000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,86000.000,1967000.000,,
CapitalExpendituresIncurredButNotYetPaid,2469000.000,4776000.000,10012000.000,26548000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,427939000.000,115287000.000,112817000.000
CashPeriodIncreaseDecrease,213372000.000,,,
ComprehensiveIncomeNetOfTax,7006000.000,6084000.000,-83197000.000,-143499000.000
CostOfRevenue,18524000.000,36985000.000,73685000.000,99090000.000
CostOfServicesMaintenanceCosts,17784000.000,35774000.000,69833000.000,92087000.000
CostsIncurredAssetRetirementObligationIncurred,,667000.000,271000.000,745000.000
CurrentFederalTaxExpenseBenefit,3732000.000,11057000.000,4009000.000,1447000.000
CurrentForeignTaxExpenseBenefit,531000.000,2802000.000,5240000.000,5230000.000
CurrentIncomeTaxExpenseBenefit,5004000.000,16218000.000,10020000.000,7079000.000
CurrentStateAndLocalTaxExpenseBenefit,741000.000,2359000.000,771000.000,402000.000
DeferredFederalIncomeTaxExpenseBenefit,-8772000.000,-12970000.000,22011000.000,258000.000
DeferredForeignIncomeTaxExpenseBenefit,-39000.000,-556000.000,-977000.000,-355000.000
DeferredIncomeTaxExpenseBenefit,-9215000.000,-14909000.000,22873000.000,-57000.000
DeferredIncomeTaxesAndTaxCredits,-3052000.000,-899000.000,28558000.000,1219000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-404000.000,-1383000.000,1839000.000,40000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,1800000.000,2800000.000,3600000.000
Depreciation,6850000.000,13512000.000,23667000.000,43006000.000
EarningsPerShareBasic,0.140,0.090,-1.170,-1.920
EarningsPerShareDiluted,0.120,0.080,-1.170,-1.920
EffectOfExchangeRateOnCashAndCashEquivalents,33000.000,-747000.000,-1103000.000,-1661000.000
EffectiveIncomeTaxRateContinuingOperations,-1.470,0.182,-0.647,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,5725000.000,14061000.000,5629000.000,2215000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,5725000.000,14061000.000,5629000.000,2215000.000
ForeignCurrencyTransactionGainLossBeforeTax,-900000.000,600000.000,600000.000,-600000.000
GeneralAndAdministrativeExpense,25905000.000,41712000.000,71078000.000,88149000.000
GoodwillPeriodIncreaseDecrease,,,,14600000.000
GrossProfit,213916000.000,375631000.000,579902000.000,727853000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,2182000.000,6217000.000,-27779000.000,-100725000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2865000.000,7182000.000,-50807000.000,-137427000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,683000.000,965000.000,-23028000.000,-36702000.000
IncomeTaxExpenseBenefit,-4211000.000,1309000.000,32893000.000,7022000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.000,,46737000.000,46174000.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,131000.000,1340000.000,10582000.000,14566000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,1003000.000,2514000.000,-17783000.000,-48098000.000
IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,582000.000,832000.000,1395000.000,1212000.000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,1845000.000,2929000.000,3174000.000,5098000.000
IncomeTaxReconciliationOtherAdjustments,1000.000,-14000.000,-129000.000,-2000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,67000.000,207000.000,-896000.000,-3466000.000
IncomeTaxReconciliationTaxCredits,7840000.000,6499000.000,10187000.000,8462000.000
IncomeTaxesPaid,367000.000,569000.000,959000.000,1513000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,19037000.000,21181000.000,30224000.000,71157000.000
IncreaseDecreaseInAccountsReceivable,30488000.000,41015000.000,34225000.000,78197000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,62000.000,224000.000,664000.000,997000.000
IncreaseDecreaseInDeferredRevenue,34740000.000,62752000.000,71383000.000,116860000.000
IncreaseDecreaseInIncomeTaxesReceivable,961000.000,-1816000.000,-147000.000,56000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,4758000.000,6950000.000,13783000.000,18987000.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,0.000,0.000,,
