,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableCurrent,2388000.000,1680000.000,2886000.000,4429000.000,2512000.000,2681000.000,5771000.000,5699000.000,7067000.000,3720000.000,7781000.000,8900000.000,7428000.000
AccruedLiabilitiesCurrent,7072000.000,7272000.000,8413000.000,11001000.000,9993000.000,10661000.000,9293000.000,15513000.000,13066000.000,15892000.000,9303000.000,12035000.000,19666000.000
AccruedProfessionalFeesCurrent,,,,,1347000.000,2399000.000,1204000.000,3112000.000,2102000.000,3948000.000,992000.000,2476000.000,4955000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1076000.000,690000.000,365000.000,573000.000,113000.000,276000.000,470000.000,121000.000,272000.000,744000.000,859000.000,908000.000,783000.000
AdditionalPaidInCapitalCommonStock,653503000.000,654495000.000,726468000.000,734571000.000,737042000.000,925019000.000,926671000.000,927251000.000,928714000.000,933162000.000,935406000.000,1047857000.000,1080984000.000
Assets,102280000.000,88789000.000,141044000.000,127141000.000,99839000.000,272887000.000,250865000.000,226493000.000,197954000.000,168234000.000,141011000.000,223132000.000,197626000.000
AssetsCurrent,82661000.000,69699000.000,123838000.000,109833000.000,83188000.000,257807000.000,237792000.000,213623000.000,184965000.000,156367000.000,129752000.000,211900000.000,186287000.000
CashAndCashEquivalentsAtCarryingValue,78353000.000,64693000.000,118271000.000,105258000.000,79309000.000,251874000.000,230826000.000,205297000.000,177600000.000,148832000.000,122006000.000,205008000.000,177613000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,54700000.000,222000000.000,184000000.000,184000000.000,154000000.000,121000000.000,88000000.000,163700000.000,120700000.000
CommonStockHeldBySubsidiary,,,,,88900000.000,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,96034826.000,96153387.000,107218463.000,108330081.000,108438933.000,133882699.000,133957689.000,133959205.000,133962861.000,134000750.000,134119350.000,150843352.000,151470155.000
CommonStockSharesOutstanding,96034826.000,96153387.000,107218463.000,108330081.000,108438933.000,133882699.000,133957689.000,133959205.000,133962861.000,134000750.000,134119350.000,150843352.000,151470155.000
CommonStockValue,96000.000,96000.000,107000.000,108000.000,108000.000,134000.000,134000.000,134000.000,134000.000,134000.000,134000.000,151000.000,151000.000
DeferredRevenueCurrent,2623000.000,2623000.000,36068000.000,0.000,,,,,,,,,
DeferredRevenueNoncurrent,39028000.000,38373000.000,4272000.000,4272000.000,4272000.000,4272000.000,4272000.000,4272000.000,4272000.000,4272000.000,4272000.000,4272000.000,4272000.000
DeferredTaxAssetsDeferredIncome,,,,,,,1847000.000,,,,1566000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,110330000.000,,,,135929000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,312500000.000,,,,384500000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,76800000.000,,,,97700000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,,,,877000.000,,,,877000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,,,,,,14185000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,218290000.000,,,,262454000.000,,
DueFromRelatedPartiesCurrent,1170000.000,1161000.000,1157000.000,1214000.000,1300000.000,1376000.000,1195000.000,1350000.000,1033000.000,1657000.000,1409000.000,1292000.000,1050000.000
DueFromRelatedPartiesNoncurrent,,,,,,6460000.000,6210000.000,5918000.000,5622000.000,5354000.000,5082000.000,4842000.000,4555000.000
EmployeeRelatedLiabilitiesCurrent,,,,,2627000.000,2214000.000,2946000.000,2087000.000,2647000.000,2161000.000,2888000.000,2102000.000,4053000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,6900000.000,15000000.000,,,,,,,
IntangibleAssetsNetExcludingGoodwill,9275000.000,8992000.000,8708000.000,8424000.000,8140000.000,,,,,,,,
Liabilities,93486000.000,91098000.000,89819000.000,56155000.000,52236000.000,32847000.000,31705000.000,37856000.000,36621000.000,35936000.000,35014000.000,38732000.000,44686000.000
LiabilitiesAndStockholdersEquity,102280000.000,88789000.000,141044000.000,127141000.000,99839000.000,272887000.000,250865000.000,226493000.000,197954000.000,168234000.000,141011000.000,223132000.000,197626000.000
LiabilitiesCurrent,15550000.000,15096000.000,50525000.000,18623000.000,15813000.000,14769000.000,15932000.000,22068000.000,21267000.000,21024000.000,18190000.000,21928000.000,28257000.000
NoncurrentAssets,,,,,,,3274000.000,,,,2782000.000,,
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,23039000.000,,,,20486000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,,2899000.000,,,,3412000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,3071000.000,,,,3019000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,3485000.000,,,,3105000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,3406000.000,,,,3569000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,3329000.000,,,,3490000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,,,6849000.000,,,,3891000.000,,
OtherAccruedLiabilitiesCurrent,,,,,1192000.000,1552000.000,1481000.000,2159000.000,2192000.000,847000.000,543000.000,883000.000,843000.000
OtherAssetsCurrent,2727000.000,3434000.000,3999000.000,3361000.000,2579000.000,3204000.000,3668000.000,4873000.000,4930000.000,4476000.000,4935000.000,4198000.000,6222000.000
OtherAssetsNoncurrent,3522000.000,3701000.000,3052000.000,3584000.000,3673000.000,3962000.000,3589000.000,3838000.000,4248000.000,3593000.000,3395000.000,3852000.000,4185000.000
OtherLiabilitiesCurrent,430000.000,481000.000,261000.000,397000.000,536000.000,713000.000,154000.000,142000.000,420000.000,698000.000,392000.000,279000.000,449000.000
OtherLiabilitiesNoncurrent,11829000.000,11286000.000,10640000.000,10426000.000,10204000.000,9639000.000,7513000.000,7706000.000,7451000.000,7188000.000,9278000.000,9437000.000,9240000.000
OtherSundryLiabilitiesNoncurrent,,,,,,,,,,,918000.000,1302000.000,1407000.000
PropertyPlantAndEquipmentGross,,,,,,,22134000.000,,,,15624000.000,,
PropertyPlantAndEquipmentNet,6072000.000,5647000.000,4696000.000,4550000.000,4088000.000,3908000.000,3274000.000,3114000.000,3119000.000,2920000.000,2782000.000,2538000.000,2599000.000
PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,,,,,,,18860000.000,,,,12842000.000,,
RestrictedCashAndCashEquivalents,,,,,,1400000.000,,,,,,,
RestrictedCashAndCashEquivalentsAtCarryingValue,411000.000,411000.000,411000.000,0.000,,1353000.000,2103000.000,2103000.000,1402000.000,1402000.000,1402000.000,1402000.000,1402000.000
RestrictedCashAndCashEquivalentsNoncurrent,750000.000,750000.000,750000.000,750000.000,750000.000,750000.000,,,,,,,
RestructuringReserve,,,,,,,,,,2100000.000,1000000.000,,
RestructuringReserveCurrent,,,,,,,,,,2090000.000,996000.000,,
RetainedEarningsAccumulatedDeficit,-645881000.000,-657590000.000,-675715000.000,-664266000.000,-689660000.000,-685389000.000,-708115000.000,-738869000.000,-767787000.000,-801742000.000,-830402000.000,-864516000.000,-928978000.000
SettlementLiabilitiesCurrent,,,,,929000.000,966000.000,976000.000,1006000.000,1033000.000,1036000.000,1052000.000,1033000.000,1050000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,5228456.000,5297324.000,5409055.000,5703730.000,4604880.000,5127290.000,5287641.000,5173663.000,4912218.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,7.510,7.440,7.420,7.390,6.720,6.680,6.710,6.660,6.390
