,2015-04-30,2015-10-31,2016-04-30,2017-01-31,2017-04-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,835.000,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,2626521.000,,,
Depreciation,80.000,80.000,96.000,132.000,131.000
IncomeLossFromContinuingOperations,,,,-2416798.000,-2391269.000
IncomeTaxesPaid,,0.000,,,
IncreaseDecreaseInOperatingAssets,,-3000.000,,,
IncreaseDecreaseInOperatingLiabilities,,2628686.000,,,
InterestExpense,-119.000,-146.000,-1192.000,-5190.000,-4946.000
InterestPaid,,0.000,,,
NetCashProvidedByUsedInFinancingActivities,,86207.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,86207.000,,,
NetCashProvidedByUsedInOperatingActivities,,-44887.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-44887.000,,,
NetIncomeLoss,,,,-2421988.000,-2396215.000
OperatingExpenses,1319492.000,2671257.000,1795080.000,2416798.000,2391269.000
ProfessionalFees,5800.000,775873.000,29850.000,12800.000,8700.000
ProfitLoss,,-2671408.000,-1796272.000,,
Revenues,0.000,0.000,0.000,0.000,0.000
SalesRevenueNet,0.000,0.000,0.000,0.000,0.000
