,2011-05-31,2012-05-31,2013-05-31,2014-05-31,2015-05-31,2016-05-31,2017-05-31
AdditionsToNoncurrentAssets,,91218000.000,37600000.000,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,247000.000,482000.000,,,,,
AmortizationOfDebtDiscountPremium,12309000.000,13171000.000,9600000.000,5300000.000,2700000.000,,
AmortizationOfIntangibleAssets,,,13700000.000,10400000.000,4600000.000,4400000.000,4300000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,1627000.000,872200.000,180000.000,168200.000,1374200.000,11200.000
AssetImpairmentCharges,5355000.000,,,,84600000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-21937000.000,,7600000.000,13900000.000,-34500000.000,-23500000.000,-20900000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,30200000.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,1700000.000,-2400000.000
CommonStockDividendsPerShareDeclared,,0.300,0.300,0.300,,,
ComprehensiveIncomeNetOfTax,,,67700000.000,86100000.000,-900000.000,43700000.000,61000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,500000.000,300000.000,200000.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,31484000.000,68200000.000,86400000.000,-700000.000,43700000.000,61000000.000
CostOfGoodsSold,1055135000.000,1208624000.000,1115500000.000,1068400000.000,836500000.000,757200000.000,800700000.000
CostOfServices,412232000.000,534117000.000,707600000.000,626400000.000,598500000.000,668500000.000,690400000.000
CostsAndExpenses,1646321000.000,1935838000.000,2021500000.000,1892400000.000,1606400000.000,1596500000.000,1687800000.000
CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,-18474000.000,,,,,
CurrentFederalTaxExpenseBenefit,,-9777000.000,-13100000.000,-500000.000,22200000.000,9800000.000,20200000.000
CurrentForeignTaxExpenseBenefit,,2952000.000,12100000.000,22800000.000,1500000.000,3800000.000,3100000.000
CurrentIncomeTaxExpenseBenefit,,-7275000.000,-2800000.000,22500000.000,24100000.000,14000000.000,23500000.000
CurrentStateAndLocalTaxExpenseBenefit,,-450000.000,-1800000.000,200000.000,400000.000,400000.000,200000.000
DebtInstrumentDecreaseRepayments,,,22000000.000,,,,
DeferredIncomeTaxExpenseBenefit,40644000.000,32755000.000,29500000.000,9600000.000,-52600000.000,4800000.000,600000.000
DefinedContributionPlanCostRecognized,,13159000.000,14000000.000,12500000.000,11900000.000,11100000.000,12700000.000
DepreciationDepletionAndAmortization,59296000.000,80333000.000,79700000.000,80400000.000,69100000.000,50000000.000,52900000.000
DerivativeInstrumentsLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,,,,,2000000.000,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,198600000.000,27700000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,-3313000.000,,,,,,
