,2011-12-31,2012-12-31
AdvertisingExpense,,131000.000
CapitalLeasesIncomeStatementAmortizationExpense,,228000.000
CapitalizedComputerSoftwareAmortization,,277000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,460000.000,-259000.000
CostOfGoodsSold,45943000.000,48554000.000
CurrentFederalTaxExpenseBenefit,,1234000.000
CurrentStateAndLocalTaxExpenseBenefit,,23000.000
DeferredIncomeTaxExpenseBenefit,81000.000,-404000.000
DefinedContributionPlanCostRecognized,,362000.000
DepreciationAndAmortization,2965000.000,3226000.000
EarningsPerShareBasic,0.570,0.520
EarningsPerShareDiluted,0.550,0.510
EffectiveIncomeTaxRateContinuingOperations,,0.336
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340
EffectiveIncomeTaxRateReconciliationDeductionsQualifiedProductionActivities,,-0.038
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,0.018
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,0.010
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.006
GainLossOnDispositionOfAssets,-49000.000,-63000.000
ImpairmentOfLongLivedAssetsHeldForUse,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2748000.000,2542000.000
IncomeTaxExpenseBenefit,877000.000,853000.000
IncomeTaxesPaidNet,1055000.000,804000.000
IncreaseDecreaseInAccountsPayable,850000.000,-269000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-259000.000,453000.000
IncreaseDecreaseInAccruedLiabilities,232000.000,52000.000
IncreaseDecreaseInInventories,-1789000.000,-242000.000
IncreaseDecreaseInOtherAccruedLiabilities,3000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,-1000.000
IncreaseDecreaseInPrepaidExpense,-66000.000,-82000.000
IncreaseDecreaseInReceivables,-460000.000,604000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,101000.000
InterestExpense,192000.000,189000.000
InterestPaid,192000.000,189000.000
LeaseAndRentalExpense,,25000.000
NetCashProvidedByUsedInFinancingActivities,-1009000.000,101000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1009000.000,101000.000
NetCashProvidedByUsedInInvestingActivities,-2276000.000,-5152000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2276000.000,-5152000.000
NetCashProvidedByUsedInOperatingActivities,3745000.000,4792000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,3745000.000,4792000.000
NetIncomeLoss,1871000.000,1689000.000
NumberOfReportableSegments,,1.000
OperatingIncomeLoss,2794000.000,2791000.000
OtherNonoperatingIncomeExpense,146000.000,-60000.000
PaymentsForRepurchaseOfCommonStock,1010000.000,
PaymentsToAcquirePropertyPlantAndEquipment,2332000.000,5126000.000
ProceedsFromIssuanceOfCommonStock,,190000.000
ProceedsFromSaleOfProductiveAssets,49000.000,
ProvisionForDoubtfulAccounts,-13000.000,-11000.000
RepaymentsOfLongTermDebt,159000.000,89000.000
Revenues,56225000.000,59284000.000
SalesRevenueNet,55777000.000,58890000.000
SellingGeneralAndAdministrativeExpense,7488000.000,7939000.000
ShareBasedCompensation,379000.000,274000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,210000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,-13874.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedInPeriodFairValue,,200000.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,1.890
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,10.340
StockIssuedDuringPeriodSharesStockOptionsExercised,,-42922.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,-500000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,3318000.000
WeightedAverageNumberOfSharesOutstandingBasic,,3217000.000
