,2011-01-01,2011-04-20,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsReceivableGrossCurrent,,,892000000.000,946000000.000,874000000.000,954000000.000,935000000.000,932000000.000,,,,,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingencies,,,,,79000000.000,,,,,,,,,,,,,,,,,,,,,,
AccruedEnvironmentalLossContingenciesCurrent,,,,,25000000.000,,,,,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,1952000000.000,,,,1956000000.000,,,,1888000000.000,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,3335000000.000,3386000000.000,3405000000.000,,3541000000.000,3623000000.000,3662000000.000,,3720000000.000,3797000000.000,3854000000.000,,4015000000.000,4082000000.000,4107000000.000,,4056000000.000,4144000000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,7000000.000,,,,5000000.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,1711000000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,79000000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1316000000.000,,-1260000000.000,-1280000000.000,-1625000000.000,-1601000000.000,-1599000000.000,-1562000000.000,-1770000000.000,-1755000000.000,-1729000000.000,-1651000000.000,-1027000000.000,-1022000000.000,-979000000.000,-1010000000.000,-1506000000.000,-1550000000.000,-1449000000.000,-1427000000.000,-1398000000.000,-1332000000.000,-1333000000.000,-1315000000.000,-1605000000.000,-1555000000.000,-1486000000.000
AdditionalPaidInCapital,1301000000.000,,1278000000.000,1275000000.000,1081000000.000,1114000000.000,1133000000.000,1157000000.000,1177000000.000,1114000000.000,1344000000.000,1372000000.000,1331000000.000,1376000000.000,1409000000.000,1432000000.000,1459000000.000,1499000000.000,1535000000.000,1561000000.000,1587000000.000,1617000000.000,1643000000.000,1674000000.000,1599000000.000,1648000000.000,1674000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,18000000.000,19000000.000,18000000.000,17000000.000,18000000.000,18000000.000,,,,,,,,,,,,,,,,,,,
AssetRetirementObligation,,,,,,,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,
