,2011-04-01,2012-03-30,2013-03-29,2014-03-28,2015-04-03,2016-04-01,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,67000000.000,45000000.000,73000000.000
AllocatedShareBasedCompensationExpense,56000000.000,36000000.000,48000000.000,71000000.000,,46000000.000,75000000.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,,,,13000000.000
AmortizationOfFinancingCosts,,,,,,,17000000.000
AmortizationOfIntangibleAssets,,,414000000.000,402000000.000,408000000.000,286000000.000,320000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,9431834.000,17592316.000,14755024.000,4573542.000,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,640000000.000,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,-28.020,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,-28.020,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,,98000000.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,0.000,0.000,
CapitalExpendituresIncurredButNotYetPaid,122000000.000,47000000.000,32000000.000,45000000.000,39000000.000,42000000.000,43000000.000
CapitalLeaseObligationsIncurred,289000000.000,270000000.000,181000000.000,149000000.000,24000000.000,47000000.000,52000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-947000000.000,-744000000.000,961000000.000,389000000.000,-345000000.000,-920000000.000,85000000.000
CommonStockDividendsPerShareCashPaid,0.700,,,,,,
CommonStockDividendsPerShareDeclared,,0.800,0.800,0.800,0.920,2.990,0.560
ComprehensiveIncomeNetOfTax,,,700000000.000,1143000000.000,-278000000.000,150000000.000,-174000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-1000000.000,21000000.000,15000000.000,12000000.000,7000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,699000000.000,1164000000.000,-263000000.000,162000000.000,-167000000.000
ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,9000000.000,11000000.000,5000000.000,1000000.000,,,
CostOfServices,12925000000.000,13406000000.000,11851000000.000,9567000000.000,9534000000.000,5185000000.000,5545000000.000
CurrentFederalTaxExpenseBenefit,19000000.000,-121000000.000,-307000000.000,81000000.000,49000000.000,-79000000.000,-32000000.000
CurrentForeignTaxExpenseBenefit,101000000.000,99000000.000,174000000.000,126000000.000,98000000.000,59000000.000,36000000.000
CurrentIncomeTaxExpenseBenefit,143000000.000,-6000000.000,-136000000.000,214000000.000,137000000.000,-42000000.000,18000000.000
CurrentStateAndLocalTaxExpenseBenefit,23000000.000,16000000.000,-3000000.000,7000000.000,-10000000.000,-22000000.000,14000000.000
DebtConversionConvertedInstrumentAmount1,,,,97200000.000,,,
DebtConversionConvertedInstrumentRate,,,,0.044,,,
